date, Population, Annual Change
1950-12-31,866000
1951-12-31,912000,5.31
1952-12-31,960000,5.26
1953-12-31,1011000,5.31
1954-12-31,1065000,5.34
1955-12-31,1122000,5.35
1956-12-31,1181000,5.26
1957-12-31,1244000,5.33
1958-12-31,1310000,5.31
1959-12-31,1380000,5.34
1960-12-31,1447000,4.86
1961-12-31,1497000,3.46
1962-12-31,1549000,3.47
1963-12-31,1602000,3.42
1964-12-31,1658000,3.5
1965-12-31,1715000,3.44
1966-12-31,1774000,3.44
1967-12-31,1836000,3.49
1968-12-31,1899000,3.43
1969-12-31,1965000,3.48
1970-12-31,2025000,3.05
1971-12-31,2066000,2.02
1972-12-31,2106000,1.94
1973-12-31,2148000,1.99
1974-12-31,2190000,1.96
1975-12-31,2234000,2.01
1976-12-31,2278000,1.97
1977-12-31,2323000,1.98
1978-12-31,2369000,1.98
1979-12-31,2416000,1.98
1980-12-31,2468000,2.15
1981-12-31,2534000,2.67
1982-12-31,2602000,2.68
1983-12-31,2673000,2.73
1984-12-31,2745000,2.69
1985-12-31,2819000,2.7
1986-12-31,2895000,2.7
1987-12-31,2973000,2.69
1988-12-31,3053000,2.69
1989-12-31,3135000,2.69
1990-12-31,3219000,2.68
1991-12-31,3304000,2.64
1992-12-31,3391000,2.63
1993-12-31,3480000,2.62
1994-12-31,3571000,2.61
1995-12-31,3665000,2.63
1996-12-31,3761000,2.62
1997-12-31,3860000,2.63
1998-12-31,3961000,2.62
1999-12-31,4065000,2.63
2000-12-31,4168000,2.53
2001-12-31,4256000,2.11
2002-12-31,4347000,2.14
2003-12-31,4440000,2.14
2004-12-31,4535000,2.14
2005-12-31,4632000,2.14
2006-12-31,4731000,2.14
2007-12-31,4832000,2.13
2008-12-31,4936000,2.15
2009-12-31,5041000,2.13
2010-12-31,5149000,2.14
2011-12-31,5259000,2.14
2012-12-31,5372000,2.15
2013-12-31,5486000,2.12
2014-12-31,5604000,2.15
2015-12-31,5723000,2.12
2016-12-31,5846000,2.15
2017-12-31,5971000,2.14
2018-12-31,6099000,2.14
2019-12-31,6201000,1.67
2020-12-31,6301000,1.61
2021-12-31,6397000,1.52
2022-12-31,6488000,1.42
2023-12-31,6574000,1.33
2024-12-31,6655000,1.23
2025-12-31,6732000,1.16
2026-12-31,6805000,1.08
2027-12-31,6875000,1.03
2028-12-31,6943000,0.99
2029-12-31,7008000,0.94
2030-12-31,7073000,0.93
2031-12-31,7136000,0.89
2032-12-31,7198000,0.87
2033-12-31,7260000,0.86
2034-12-31,7320000,0.83
2035-12-31,7380000,0.82
