date, Population, Annual Change
1950-12-31,513000
1951-12-31,535000,4.29
1952-12-31,557000,4.11
1953-12-31,581000,4.31
1954-12-31,605000,4.13
1955-12-31,631000,4.3
1956-12-31,658000,4.28
1957-12-31,685000,4.1
1958-12-31,714000,4.23
1959-12-31,745000,4.34
1960-12-31,776000,4.16
1961-12-31,810000,4.38
1962-12-31,845000,4.32
1963-12-31,881000,4.26
1964-12-31,919000,4.31
1965-12-31,959000,4.35
1966-12-31,1001000,4.38
1967-12-31,1044000,4.3
1968-12-31,1089000,4.31
1969-12-31,1136000,4.32
1970-12-31,1182000,4.05
1971-12-31,1220000,3.21
1972-12-31,1260000,3.28
1973-12-31,1301000,3.25
1974-12-31,1343000,3.23
1975-12-31,1386000,3.2
1976-12-31,1431000,3.25
1977-12-31,1478000,3.28
1978-12-31,1526000,3.25
1979-12-31,1575000,3.21
1980-12-31,1625000,3.17
1981-12-31,1673000,2.95
1982-12-31,1722000,2.93
1983-12-31,1773000,2.96
1984-12-31,1826000,2.99
1985-12-31,1879000,2.9
1986-12-31,1935000,2.98
1987-12-31,1992000,2.95
1988-12-31,2051000,2.96
1989-12-31,2111000,2.93
1990-12-31,2184000,3.46
1991-12-31,2292000,4.95
1992-12-31,2406000,4.97
1993-12-31,2525000,4.95
1994-12-31,2650000,4.95
1995-12-31,2781000,4.94
1996-12-31,2919000,4.96
1997-12-31,3064000,4.97
1998-12-31,3215000,4.93
1999-12-31,3375000,4.98
2000-12-31,3522000,4.36
2001-12-31,3613000,2.58
2002-12-31,3706000,2.57
2003-12-31,3802000,2.59
2004-12-31,3900000,2.58
2005-12-31,4001000,2.59
2006-12-31,4104000,2.57
2007-12-31,4210000,2.58
2008-12-31,4319000,2.59
2009-12-31,4430000,2.57
2010-12-31,4544000,2.57
2011-12-31,4661000,2.57
2012-12-31,4782000,2.6
2013-12-31,4905000,2.57
2014-12-31,5032000,2.59
2015-12-31,5162000,2.58
2016-12-31,5295000,2.58
2017-12-31,5432000,2.59
2018-12-31,5572000,2.58
2019-12-31,5689000,2.1
2020-12-31,5803000,2
2021-12-31,5911000,1.86
2022-12-31,6013000,1.73
2023-12-31,6106000,1.55
2024-12-31,6193000,1.42
2025-12-31,6272000,1.28
2026-12-31,6345000,1.16
2027-12-31,6414000,1.09
2028-12-31,6479000,1.01
2029-12-31,6541000,0.96
2030-12-31,6602000,0.93
2031-12-31,6662000,0.91
2032-12-31,6720000,0.87
2033-12-31,6777000,0.85
2034-12-31,6834000,0.84
2035-12-31,6889000,0.8
