date, Population, Annual Change
1950-12-31,1168000
1951-12-31,1191000,1.97
1952-12-31,1215000,2.02
1953-12-31,1240000,2.06
1954-12-31,1265000,2.02
1955-12-31,1290000,1.98
1956-12-31,1316000,2.02
1957-12-31,1343000,2.05
1958-12-31,1370000,2.01
1959-12-31,1398000,2.04
1960-12-31,1422000,1.72
1961-12-31,1435000,0.91
1962-12-31,1447000,0.84
1963-12-31,1460000,0.9
1964-12-31,1473000,0.89
1965-12-31,1486000,0.88
1966-12-31,1499000,0.87
1967-12-31,1513000,0.93
1968-12-31,1526000,0.86
1969-12-31,1540000,0.92
1970-12-31,1555000,0.97
1971-12-31,1573000,1.16
1972-12-31,1592000,1.21
1973-12-31,1611000,1.19
1974-12-31,1631000,1.24
1975-12-31,1650000,1.16
1976-12-31,1670000,1.21
1977-12-31,1690000,1.2
1978-12-31,1710000,1.18
1979-12-31,1731000,1.23
1980-12-31,1749000,1.04
1981-12-31,1758000,0.51
1982-12-31,1768000,0.57
1983-12-31,1777000,0.51
1984-12-31,1787000,0.56
1985-12-31,1797000,0.56
1986-12-31,1806000,0.5
1987-12-31,1816000,0.55
1988-12-31,1826000,0.55
1989-12-31,1836000,0.55
1990-12-31,1849000,0.71
1991-12-31,1871000,1.19
1992-12-31,1893000,1.18
1993-12-31,1916000,1.22
1994-12-31,1939000,1.2
1995-12-31,1962000,1.19
1996-12-31,1986000,1.22
1997-12-31,2009000,1.16
1998-12-31,2033000,1.19
1999-12-31,2058000,1.23
2000-12-31,2079000,1.02
2001-12-31,2092000,0.63
2002-12-31,2104000,0.57
2003-12-31,2117000,0.62
2004-12-31,2130000,0.61
2005-12-31,2142000,0.56
2006-12-31,2155000,0.61
2007-12-31,2168000,0.6
2008-12-31,2181000,0.6
2009-12-31,2194000,0.6
2010-12-31,2207000,0.59
2011-12-31,2220000,0.59
2012-12-31,2233000,0.59
2013-12-31,2247000,0.63
2014-12-31,2260000,0.58
2015-12-31,2274000,0.62
2016-12-31,2287000,0.57
2017-12-31,2301000,0.61
2018-12-31,2315000,0.61
2019-12-31,2319000,0.17
2020-12-31,2325000,0.26
2021-12-31,2333000,0.34
2022-12-31,2343000,0.43
2023-12-31,2355000,0.51
2024-12-31,2370000,0.64
2025-12-31,2387000,0.72
2026-12-31,2405000,0.75
2027-12-31,2425000,0.83
2028-12-31,2447000,0.91
2029-12-31,2468000,0.86
2030-12-31,2490000,0.89
2031-12-31,2512000,0.88
2032-12-31,2534000,0.88
2033-12-31,2555000,0.83
2034-12-31,2576000,0.82
2035-12-31,2597000,0.82
