date, Population, Annual Change
1950-12-31,2551000
1951-12-31,2576000,0.98
1952-12-31,2602000,1.01
1953-12-31,2628000,1
1954-12-31,2654000,0.99
1955-12-31,2680000,0.98
1956-12-31,2707000,1.01
1957-12-31,2734000,1
1958-12-31,2761000,0.99
1959-12-31,2788000,0.98
1960-12-31,2818000,1.08
1961-12-31,2854000,1.28
1962-12-31,2890000,1.26
1963-12-31,2926000,1.25
1964-12-31,2963000,1.26
1965-12-31,3000000,1.25
1966-12-31,3038000,1.27
1967-12-31,3076000,1.25
1968-12-31,3115000,1.27
1969-12-31,3155000,1.28
1970-12-31,3187000,1.01
1971-12-31,3196000,0.28
1972-12-31,3205000,0.28
1973-12-31,3214000,0.28
1974-12-31,3224000,0.31
1975-12-31,3233000,0.28
1976-12-31,3242000,0.28
1977-12-31,3252000,0.31
1978-12-31,3261000,0.28
1979-12-31,3271000,0.31
1980-12-31,3281000,0.31
1981-12-31,3294000,0.4
1982-12-31,3308000,0.43
1983-12-31,3321000,0.39
1984-12-31,3335000,0.42
1985-12-31,3349000,0.42
1986-12-31,3362000,0.39
1987-12-31,3376000,0.42
1988-12-31,3390000,0.41
1989-12-31,3404000,0.41
1990-12-31,3428000,0.71
1991-12-31,3486000,1.69
1992-12-31,3544000,1.66
1993-12-31,3604000,1.69
1994-12-31,3664000,1.66
1995-12-31,3726000,1.69
1996-12-31,3788000,1.66
1997-12-31,3852000,1.69
1998-12-31,3917000,1.69
1999-12-31,3982000,1.66
2000-12-31,4036000,1.36
2001-12-31,4051000,0.37
2002-12-31,4065000,0.35
2003-12-31,4080000,0.37
2004-12-31,4095000,0.37
2005-12-31,4110000,0.37
2006-12-31,4125000,0.36
2007-12-31,4140000,0.36
2008-12-31,4155000,0.36
2009-12-31,4170000,0.36
2010-12-31,4185000,0.36
2011-12-31,4200000,0.36
2012-12-31,4215000,0.36
2013-12-31,4230000,0.36
2014-12-31,4246000,0.38
2015-12-31,4261000,0.35
2016-12-31,4277000,0.38
2017-12-31,4292000,0.35
2018-12-31,4308000,0.37
2019-12-31,4307000,-0.02
2020-12-31,4309000,0.05
2021-12-31,4315000,0.14
2022-12-31,4327000,0.28
2023-12-31,4344000,0.39
2024-12-31,4367000,0.53
2025-12-31,4396000,0.66
2026-12-31,4428000,0.73
2027-12-31,4464000,0.81
2028-12-31,4502000,0.85
2029-12-31,4541000,0.87
2030-12-31,4581000,0.88
2031-12-31,4621000,0.87
2032-12-31,4661000,0.87
2033-12-31,4701000,0.86
2034-12-31,4740000,0.83
2035-12-31,4778000,0.8
