date, Population, Annual Change
1950-12-31,4999000
1951-12-31,5107000,2.16
1952-12-31,5218000,2.17
1953-12-31,5331000,2.17
1954-12-31,5447000,2.18
1955-12-31,5565000,2.17
1956-12-31,5685000,2.16
1957-12-31,5808000,2.16
1958-12-31,5934000,2.17
1959-12-31,6063000,2.17
1960-12-31,6183000,1.98
1961-12-31,6272000,1.44
1962-12-31,6361000,1.42
1963-12-31,6453000,1.45
1964-12-31,6545000,1.43
1965-12-31,6639000,1.44
1966-12-31,6734000,1.43
1967-12-31,6830000,1.43
1968-12-31,6928000,1.43
1969-12-31,7028000,1.44
1970-12-31,7106000,1.11
1971-12-31,7117000,0.15
1972-12-31,7128000,0.15
1973-12-31,7139000,0.15
1974-12-31,7149000,0.14
1975-12-31,7160000,0.15
1976-12-31,7171000,0.15
1977-12-31,7182000,0.15
1978-12-31,7193000,0.15
1979-12-31,7204000,0.15
1980-12-31,7216000,0.17
1981-12-31,7230000,0.19
1982-12-31,7244000,0.19
1983-12-31,7257000,0.18
1984-12-31,7271000,0.19
1985-12-31,7285000,0.19
1986-12-31,7299000,0.19
1987-12-31,7313000,0.19
1988-12-31,7327000,0.19
1989-12-31,7341000,0.19
1990-12-31,7374000,0.45
1991-12-31,7464000,1.22
1992-12-31,7556000,1.23
1993-12-31,7649000,1.23
1994-12-31,7743000,1.23
1995-12-31,7839000,1.24
1996-12-31,7935000,1.22
1997-12-31,8033000,1.24
1998-12-31,8132000,1.23
1999-12-31,8232000,1.23
2000-12-31,8315000,1.01
2001-12-31,8345000,0.36
2002-12-31,8374000,0.35
2003-12-31,8404000,0.36
2004-12-31,8434000,0.36
2005-12-31,8464000,0.36
2006-12-31,8494000,0.35
2007-12-31,8525000,0.36
2008-12-31,8555000,0.35
2009-12-31,8585000,0.35
2010-12-31,8616000,0.36
2011-12-31,8646000,0.35
2012-12-31,8677000,0.36
2013-12-31,8708000,0.36
2014-12-31,8739000,0.36
2015-12-31,8770000,0.35
2016-12-31,8801000,0.35
2017-12-31,8833000,0.36
2018-12-31,8864000,0.35
2019-12-31,8862000,-0.02
2020-12-31,8865000,0.03
2021-12-31,8877000,0.14
2022-12-31,8901000,0.27
2023-12-31,8937000,0.4
2024-12-31,8984000,0.53
2025-12-31,9042000,0.65
2026-12-31,9109000,0.74
2027-12-31,9182000,0.8
2028-12-31,9260000,0.85
2029-12-31,9341000,0.87
2030-12-31,9424000,0.89
2031-12-31,9506000,0.87
2032-12-31,9588000,0.86
2033-12-31,9670000,0.86
2034-12-31,9750000,0.83
2035-12-31,9830000,0.82
