date, Population, Annual Change
1950-12-31,881000
1951-12-31,900000,2.16
1952-12-31,919000,2.11
1953-12-31,939000,2.18
1954-12-31,959000,2.13
1955-12-31,980000,2.19
1956-12-31,1001000,2.14
1957-12-31,1022000,2.1
1958-12-31,1044000,2.15
1959-12-31,1066000,2.11
1960-12-31,1086000,1.88
1961-12-31,1097000,1.01
1962-12-31,1109000,1.09
1963-12-31,1120000,0.99
1964-12-31,1132000,1.07
1965-12-31,1144000,1.06
1966-12-31,1156000,1.05
1967-12-31,1168000,1.04
1968-12-31,1180000,1.03
1969-12-31,1192000,1.02
1970-12-31,1202000,0.84
1971-12-31,1205000,0.25
1972-12-31,1207000,0.17
1973-12-31,1210000,0.25
1974-12-31,1213000,0.25
1975-12-31,1216000,0.25
1976-12-31,1218000,0.16
1977-12-31,1221000,0.25
1978-12-31,1224000,0.25
1979-12-31,1226000,0.16
1980-12-31,1231000,0.41
1981-12-31,1241000,0.81
1982-12-31,1251000,0.81
1983-12-31,1261000,0.8
1984-12-31,1271000,0.79
1985-12-31,1281000,0.79
1986-12-31,1292000,0.86
1987-12-31,1302000,0.77
1988-12-31,1312000,0.77
1989-12-31,1323000,0.84
1990-12-31,1335000,0.91
1991-12-31,1351000,1.2
1992-12-31,1368000,1.26
1993-12-31,1385000,1.24
1994-12-31,1402000,1.23
1995-12-31,1419000,1.21
1996-12-31,1436000,1.2
1997-12-31,1454000,1.25
1998-12-31,1472000,1.24
1999-12-31,1490000,1.22
2000-12-31,1506000,1.07
2001-12-31,1518000,0.8
2002-12-31,1530000,0.79
2003-12-31,1542000,0.78
2004-12-31,1554000,0.78
2005-12-31,1566000,0.77
2006-12-31,1578000,0.77
2007-12-31,1590000,0.76
2008-12-31,1603000,0.82
2009-12-31,1615000,0.75
2010-12-31,1628000,0.8
2011-12-31,1641000,0.8
2012-12-31,1654000,0.79
2013-12-31,1666000,0.73
2014-12-31,1679000,0.78
2015-12-31,1693000,0.83
2016-12-31,1706000,0.77
2017-12-31,1719000,0.76
2018-12-31,1733000,0.81
2019-12-31,1739000,0.35
2020-12-31,1746000,0.4
2021-12-31,1754000,0.46
2022-12-31,1764000,0.57
2023-12-31,1775000,0.62
2024-12-31,1787000,0.68
2025-12-31,1801000,0.78
2026-12-31,1816000,0.83
2027-12-31,1832000,0.88
2028-12-31,1848000,0.87
2029-12-31,1864000,0.87
2030-12-31,1881000,0.91
2031-12-31,1897000,0.85
2032-12-31,1914000,0.9
2033-12-31,1930000,0.84
2034-12-31,1946000,0.83
2035-12-31,1962000,0.82
