date, Population, Annual Change
1950-12-31,1392000
1951-12-31,1428000,2.59
1952-12-31,1465000,2.59
1953-12-31,1503000,2.59
1954-12-31,1542000,2.59
1955-12-31,1582000,2.59
1956-12-31,1622000,2.53
1957-12-31,1664000,2.59
1958-12-31,1707000,2.58
1959-12-31,1751000,2.58
1960-12-31,1789000,2.17
1961-12-31,1806000,0.95
1962-12-31,1823000,0.94
1963-12-31,1840000,0.93
1964-12-31,1857000,0.92
1965-12-31,1875000,0.97
1966-12-31,1892000,0.91
1967-12-31,1910000,0.95
1968-12-31,1928000,0.94
1969-12-31,1946000,0.93
1970-12-31,1954000,0.41
1971-12-31,1933000,-1.07
1972-12-31,1911000,-1.14
1973-12-31,1890000,-1.1
1974-12-31,1869000,-1.11
1975-12-31,1848000,-1.12
1976-12-31,1828000,-1.08
1977-12-31,1807000,-1.15
1978-12-31,1787000,-1.11
1979-12-31,1767000,-1.12
1980-12-31,1751000,-0.91
1981-12-31,1743000,-0.46
1982-12-31,1735000,-0.46
1983-12-31,1728000,-0.4
1984-12-31,1720000,-0.46
1985-12-31,1713000,-0.41
1986-12-31,1705000,-0.47
1987-12-31,1698000,-0.41
1988-12-31,1690000,-0.47
1989-12-31,1683000,-0.41
1990-12-31,1680000,-0.18
1991-12-31,1691000,0.65
1992-12-31,1701000,0.59
1993-12-31,1712000,0.65
1994-12-31,1723000,0.64
1995-12-31,1734000,0.64
1996-12-31,1745000,0.63
1997-12-31,1756000,0.63
1998-12-31,1767000,0.63
1999-12-31,1778000,0.62
2000-12-31,1786000,0.45
2001-12-31,1786000,0
2002-12-31,1785000,-0.06
2003-12-31,1785000,0
2004-12-31,1784000,-0.06
2005-12-31,1784000,0
2006-12-31,1783000,-0.06
2007-12-31,1782000,-0.06
2008-12-31,1782000,0
2009-12-31,1781000,-0.06
2010-12-31,1781000,0
2011-12-31,1780000,-0.06
2012-12-31,1779000,-0.06
2013-12-31,1779000,0
2014-12-31,1778000,-0.06
2015-12-31,1778000,0
2016-12-31,1777000,-0.06
2017-12-31,1776000,-0.06
2018-12-31,1776000,0
2019-12-31,1769000,-0.39
2020-12-31,1763000,-0.34
2021-12-31,1760000,-0.17
2022-12-31,1761000,0.06
2023-12-31,1764000,0.17
2024-12-31,1771000,0.4
2025-12-31,1780000,0.51
2026-12-31,1792000,0.67
2027-12-31,1805000,0.73
2028-12-31,1820000,0.83
2029-12-31,1836000,0.88
2030-12-31,1852000,0.87
2031-12-31,1868000,0.86
2032-12-31,1884000,0.86
2033-12-31,1900000,0.85
2034-12-31,1916000,0.84
2035-12-31,1932000,0.84
