date, Population, Annual Change
1950-12-31,505000
1951-12-31,529000,4.75
1952-12-31,555000,4.91
1953-12-31,582000,4.86
1954-12-31,611000,4.98
1955-12-31,641000,4.91
1956-12-31,672000,4.84
1957-12-31,705000,4.91
1958-12-31,739000,4.82
1959-12-31,775000,4.87
1960-12-31,809000,4.39
1961-12-31,831000,2.72
1962-12-31,853000,2.65
1963-12-31,876000,2.7
1964-12-31,899000,2.63
1965-12-31,923000,2.67
1966-12-31,948000,2.71
1967-12-31,974000,2.74
1968-12-31,1000000,2.67
1969-12-31,1027000,2.7
1970-12-31,1054000,2.63
1971-12-31,1081000,2.56
1972-12-31,1109000,2.59
1973-12-31,1138000,2.61
1974-12-31,1167000,2.55
1975-12-31,1198000,2.66
1976-12-31,1229000,2.59
1977-12-31,1260000,2.52
1978-12-31,1293000,2.62
1979-12-31,1326000,2.55
1980-12-31,1356000,2.26
1981-12-31,1372000,1.18
1982-12-31,1388000,1.17
1983-12-31,1404000,1.15
1984-12-31,1420000,1.14
1985-12-31,1437000,1.2
1986-12-31,1453000,1.11
1987-12-31,1470000,1.17
1988-12-31,1488000,1.22
1989-12-31,1505000,1.14
1990-12-31,1528000,1.53
1991-12-31,1570000,2.75
1992-12-31,1612000,2.68
1993-12-31,1656000,2.73
1994-12-31,1701000,2.72
1995-12-31,1747000,2.7
1996-12-31,1795000,2.75
1997-12-31,1844000,2.73
1998-12-31,1894000,2.71
1999-12-31,1945000,2.69
2000-12-31,1994000,2.52
2001-12-31,2030000,1.81
2002-12-31,2066000,1.77
2003-12-31,2104000,1.84
2004-12-31,2142000,1.81
2005-12-31,2181000,1.82
2006-12-31,2220000,1.79
2007-12-31,2260000,1.8
2008-12-31,2301000,1.81
2009-12-31,2342000,1.78
2010-12-31,2385000,1.84
2011-12-31,2428000,1.8
2012-12-31,2472000,1.81
2013-12-31,2516000,1.78
2014-12-31,2562000,1.83
2015-12-31,2608000,1.8
2016-12-31,2656000,1.84
2017-12-31,2704000,1.81
2018-12-31,2753000,1.81
2019-12-31,2790000,1.34
2020-12-31,2827000,1.33
2021-12-31,2862000,1.24
2022-12-31,2897000,1.22
2023-12-31,2931000,1.17
2024-12-31,2963000,1.09
2025-12-31,2995000,1.08
2026-12-31,3025000,1
2027-12-31,3055000,0.99
2028-12-31,3084000,0.95
2029-12-31,3113000,0.94
2030-12-31,3141000,0.9
2031-12-31,3169000,0.89
2032-12-31,3197000,0.88
2033-12-31,3224000,0.84
2034-12-31,3251000,0.84
2035-12-31,3278000,0.83
