date, Population, Annual Change
1950-12-31,2769000
1951-12-31,2840000,2.56
1952-12-31,2912000,2.54
1953-12-31,2986000,2.54
1954-12-31,3062000,2.55
1955-12-31,3140000,2.55
1956-12-31,3220000,2.55
1957-12-31,3301000,2.52
1958-12-31,3385000,2.54
1959-12-31,3471000,2.54
1960-12-31,3548000,2.22
1961-12-31,3589000,1.16
1962-12-31,3631000,1.17
1963-12-31,3673000,1.16
1964-12-31,3716000,1.17
1965-12-31,3759000,1.16
1966-12-31,3802000,1.14
1967-12-31,3846000,1.16
1968-12-31,3891000,1.17
1969-12-31,3936000,1.16
1970-12-31,3966000,0.76
1971-12-31,3950000,-0.4
1972-12-31,3934000,-0.41
1973-12-31,3917000,-0.43
1974-12-31,3901000,-0.41
1975-12-31,3885000,-0.41
1976-12-31,3869000,-0.41
1977-12-31,3853000,-0.41
1978-12-31,3837000,-0.42
1979-12-31,3821000,-0.42
1980-12-31,3807000,-0.37
1981-12-31,3795000,-0.32
1982-12-31,3784000,-0.29
1983-12-31,3773000,-0.29
1984-12-31,3761000,-0.32
1985-12-31,3750000,-0.29
1986-12-31,3739000,-0.29
1987-12-31,3728000,-0.29
1988-12-31,3717000,-0.3
1989-12-31,3706000,-0.3
1990-12-31,3703000,-0.08
1991-12-31,3723000,0.54
1992-12-31,3743000,0.54
1993-12-31,3763000,0.53
1994-12-31,3784000,0.56
1995-12-31,3804000,0.53
1996-12-31,3825000,0.55
1997-12-31,3846000,0.55
1998-12-31,3866000,0.52
1999-12-31,3887000,0.54
2000-12-31,3899000,0.31
2001-12-31,3882000,-0.44
2002-12-31,3865000,-0.44
2003-12-31,3848000,-0.44
2004-12-31,3831000,-0.44
2005-12-31,3814000,-0.44
2006-12-31,3797000,-0.45
2007-12-31,3780000,-0.45
2008-12-31,3763000,-0.45
2009-12-31,3747000,-0.43
2010-12-31,3730000,-0.45
2011-12-31,3713000,-0.46
2012-12-31,3697000,-0.43
2013-12-31,3681000,-0.43
2014-12-31,3664000,-0.46
2015-12-31,3648000,-0.44
2016-12-31,3632000,-0.44
2017-12-31,3616000,-0.44
2018-12-31,3600000,-0.44
2019-12-31,3571000,-0.81
2020-12-31,3548000,-0.64
2021-12-31,3530000,-0.51
2022-12-31,3521000,-0.25
2023-12-31,3521000,0
2024-12-31,3528000,0.2
2025-12-31,3543000,0.43
2026-12-31,3564000,0.59
2027-12-31,3589000,0.7
2028-12-31,3617000,0.78
2029-12-31,3647000,0.83
2030-12-31,3679000,0.88
2031-12-31,3711000,0.87
2032-12-31,3743000,0.86
2033-12-31,3775000,0.85
2034-12-31,3806000,0.82
2035-12-31,3837000,0.81
