date, Population, Annual Change
1950-12-31,709000
1951-12-31,744000,4.94
1952-12-31,782000,5.11
1953-12-31,821000,4.99
1954-12-31,861000,4.87
1955-12-31,904000,4.99
1956-12-31,950000,5.09
1957-12-31,997000,4.95
1958-12-31,1047000,5.02
1959-12-31,1099000,4.97
1960-12-31,1151000,4.73
1961-12-31,1196000,3.91
1962-12-31,1243000,3.93
1963-12-31,1292000,3.94
1964-12-31,1343000,3.95
1965-12-31,1396000,3.95
1966-12-31,1451000,3.94
1967-12-31,1508000,3.93
1968-12-31,1568000,3.98
1969-12-31,1630000,3.95
1970-12-31,1693000,3.87
1971-12-31,1756000,3.72
1972-12-31,1821000,3.7
1973-12-31,1888000,3.68
1974-12-31,1958000,3.71
1975-12-31,2030000,3.68
1976-12-31,2105000,3.69
1977-12-31,2183000,3.71
1978-12-31,2264000,3.71
1979-12-31,2348000,3.71
1980-12-31,2424000,3.24
1981-12-31,2469000,1.86
1982-12-31,2515000,1.86
1983-12-31,2562000,1.87
1984-12-31,2610000,1.87
1985-12-31,2658000,1.84
1986-12-31,2708000,1.88
1987-12-31,2758000,1.85
1988-12-31,2810000,1.89
1989-12-31,2862000,1.85
1990-12-31,2922000,2.1
1991-12-31,3003000,2.77
1992-12-31,3087000,2.8
1993-12-31,3174000,2.82
1994-12-31,3262000,2.77
1995-12-31,3353000,2.79
1996-12-31,3447000,2.8
1997-12-31,3543000,2.79
1998-12-31,3642000,2.79
1999-12-31,3744000,2.8
2000-12-31,3847000,2.75
2001-12-31,3947000,2.6
2002-12-31,4050000,2.61
2003-12-31,4156000,2.62
2004-12-31,4264000,2.6
2005-12-31,4375000,2.6
2006-12-31,4489000,2.61
2007-12-31,4606000,2.61
2008-12-31,4727000,2.63
2009-12-31,4850000,2.6
2010-12-31,4976000,2.6
2011-12-31,5106000,2.61
2012-12-31,5239000,2.6
2013-12-31,5376000,2.62
2014-12-31,5516000,2.6
2015-12-31,5660000,2.61
2016-12-31,5807000,2.6
2017-12-31,5959000,2.62
2018-12-31,6115000,2.62
2019-12-31,6245000,2.13
2020-12-31,6371000,2.02
2021-12-31,6491000,1.88
2022-12-31,6603000,1.73
2023-12-31,6707000,1.58
2024-12-31,6802000,1.42
2025-12-31,6890000,1.29
2026-12-31,6971000,1.18
2027-12-31,7046000,1.08
2028-12-31,7118000,1.02
2029-12-31,7187000,0.97
2030-12-31,7254000,0.93
2031-12-31,7319000,0.9
2032-12-31,7383000,0.87
2033-12-31,7446000,0.85
2034-12-31,7508000,0.83
2035-12-31,7569000,0.81
