date, Population, Annual Change
1950-12-31,703000
1951-12-31,723000,2.84
1952-12-31,743000,2.77
1953-12-31,764000,2.83
1954-12-31,786000,2.88
1955-12-31,808000,2.8
1956-12-31,830000,2.72
1957-12-31,854000,2.89
1958-12-31,877000,2.69
1959-12-31,902000,2.85
1960-12-31,925000,2.55
1961-12-31,940000,1.62
1962-12-31,956000,1.7
1963-12-31,972000,1.67
1964-12-31,988000,1.65
1965-12-31,1005000,1.72
1966-12-31,1021000,1.59
1967-12-31,1038000,1.67
1968-12-31,1056000,1.73
1969-12-31,1073000,1.61
1970-12-31,1086000,1.21
1971-12-31,1085000,-0.09
1972-12-31,1083000,-0.18
1973-12-31,1082000,-0.09
1974-12-31,1080000,-0.18
1975-12-31,1079000,-0.09
1976-12-31,1077000,-0.19
1977-12-31,1076000,-0.09
1978-12-31,1074000,-0.19
1979-12-31,1073000,-0.09
1980-12-31,1075000,0.19
1981-12-31,1090000,1.4
1982-12-31,1105000,1.38
1983-12-31,1121000,1.45
1984-12-31,1136000,1.34
1985-12-31,1152000,1.41
1986-12-31,1168000,1.39
1987-12-31,1184000,1.37
1988-12-31,1200000,1.35
1989-12-31,1217000,1.42
1990-12-31,1233000,1.31
1991-12-31,1246000,1.05
1992-12-31,1258000,0.96
1993-12-31,1271000,1.03
1994-12-31,1284000,1.02
1995-12-31,1297000,1.01
1996-12-31,1311000,1.08
1997-12-31,1324000,0.99
1998-12-31,1338000,1.06
1999-12-31,1351000,0.97
2000-12-31,1365000,1.04
2001-12-31,1380000,1.1
2002-12-31,1396000,1.16
2003-12-31,1411000,1.07
2004-12-31,1427000,1.13
2005-12-31,1442000,1.05
2006-12-31,1458000,1.11
2007-12-31,1474000,1.1
2008-12-31,1491000,1.15
2009-12-31,1507000,1.07
2010-12-31,1524000,1.13
2011-12-31,1540000,1.05
2012-12-31,1557000,1.1
2013-12-31,1574000,1.09
2014-12-31,1592000,1.14
2015-12-31,1609000,1.07
2016-12-31,1627000,1.12
2017-12-31,1645000,1.11
2018-12-31,1663000,1.09
2019-12-31,1675000,0.72
2020-12-31,1686000,0.66
2021-12-31,1698000,0.71
2022-12-31,1711000,0.77
2023-12-31,1725000,0.82
2024-12-31,1739000,0.81
2025-12-31,1754000,0.86
2026-12-31,1769000,0.86
2027-12-31,1785000,0.9
2028-12-31,1802000,0.95
2029-12-31,1818000,0.89
2030-12-31,1834000,0.88
2031-12-31,1850000,0.87
2032-12-31,1866000,0.86
2033-12-31,1882000,0.86
2034-12-31,1898000,0.85
2035-12-31,1913000,0.79
