date, Population, Annual Change
1950-12-31,4046000
1951-12-31,4246000,4.94
1952-12-31,4457000,4.97
1953-12-31,4678000,4.96
1954-12-31,4911000,4.98
1955-12-31,5154000,4.95
1956-12-31,5411000,4.99
1957-12-31,5679000,4.95
1958-12-31,5961000,4.97
1959-12-31,6256000,4.95
1960-12-31,6530000,4.38
1961-12-31,6696000,2.54
1962-12-31,6867000,2.55
1963-12-31,7043000,2.56
1964-12-31,7223000,2.56
1965-12-31,7408000,2.56
1966-12-31,7597000,2.55
1967-12-31,7791000,2.55
1968-12-31,7991000,2.57
1969-12-31,8195000,2.55
1970-12-31,8378000,2.23
1971-12-31,8484000,1.27
1972-12-31,8593000,1.28
1973-12-31,8702000,1.27
1974-12-31,8813000,1.28
1975-12-31,8926000,1.28
1976-12-31,9039000,1.27
1977-12-31,9155000,1.28
1978-12-31,9271000,1.27
1979-12-31,9389000,1.27
1980-12-31,9512000,1.31
1981-12-31,9642000,1.37
1982-12-31,9774000,1.37
1983-12-31,9908000,1.37
1984-12-31,10044000,1.37
1985-12-31,10181000,1.36
1986-12-31,10321000,1.38
1987-12-31,10462000,1.37
1988-12-31,10606000,1.38
1989-12-31,10751000,1.37
1990-12-31,10883000,1.23
1991-12-31,10973000,0.83
1992-12-31,11064000,0.83
1993-12-31,11154000,0.81
1994-12-31,11246000,0.82
1995-12-31,11339000,0.83
1996-12-31,11432000,0.82
1997-12-31,11526000,0.82
1998-12-31,11621000,0.82
1999-12-31,11717000,0.83
2000-12-31,11798000,0.69
2001-12-31,11834000,0.31
2002-12-31,11870000,0.3
2003-12-31,11906000,0.3
2004-12-31,11942000,0.3
2005-12-31,11978000,0.3
2006-12-31,12014000,0.3
2007-12-31,12050000,0.3
2008-12-31,12087000,0.31
2009-12-31,12123000,0.3
2010-12-31,12160000,0.31
2011-12-31,12197000,0.3
2012-12-31,12234000,0.3
2013-12-31,12271000,0.3
2014-12-31,12308000,0.3
2015-12-31,12345000,0.3
2016-12-31,12383000,0.31
2017-12-31,12420000,0.3
2018-12-31,12458000,0.31
2019-12-31,12448000,-0.08
2020-12-31,12447000,-0.01
2021-12-31,12459000,0.1
2022-12-31,12488000,0.23
2023-12-31,12534000,0.37
2024-12-31,12598000,0.51
2025-12-31,12678000,0.64
2026-12-31,12770000,0.73
2027-12-31,12872000,0.8
2028-12-31,12981000,0.85
2029-12-31,13094000,0.87
2030-12-31,13209000,0.88
2031-12-31,13325000,0.88
2032-12-31,13440000,0.86
2033-12-31,13554000,0.85
2034-12-31,13667000,0.83
2035-12-31,13778000,0.81
