date, Population, Annual Change
1950-12-31,622000
1951-12-31,673000,8.2
1952-12-31,729000,8.32
1953-12-31,788000,8.09
1954-12-31,853000,8.25
1955-12-31,924000,8.32
1956-12-31,1000000,8.23
1957-12-31,1082000,8.2
1958-12-31,1171000,8.23
1959-12-31,1268000,8.28
1960-12-31,1361000,7.33
1961-12-31,1424000,4.63
1962-12-31,1490000,4.63
1963-12-31,1560000,4.7
1964-12-31,1633000,4.68
1965-12-31,1709000,4.65
1966-12-31,1788000,4.62
1967-12-31,1871000,4.64
1968-12-31,1959000,4.7
1969-12-31,2050000,4.65
1970-12-31,2141000,4.44
1971-12-31,2224000,3.88
1972-12-31,2311000,3.91
1973-12-31,2400000,3.85
1974-12-31,2493000,3.88
1975-12-31,2590000,3.89
1976-12-31,2691000,3.9
1977-12-31,2795000,3.86
1978-12-31,2903000,3.86
1979-12-31,3016000,3.89
1980-12-31,3122000,3.51
1981-12-31,3198000,2.43
1982-12-31,3276000,2.44
1983-12-31,3356000,2.44
1984-12-31,3438000,2.44
1985-12-31,3521000,2.41
1986-12-31,3607000,2.44
1987-12-31,3695000,2.44
1988-12-31,3785000,2.44
1989-12-31,3877000,2.43
1990-12-31,3969000,2.37
1991-12-31,4058000,2.24
1992-12-31,4148000,2.22
1993-12-31,4240000,2.22
1994-12-31,4334000,2.22
1995-12-31,4431000,2.24
1996-12-31,4529000,2.21
1997-12-31,4630000,2.23
1998-12-31,4733000,2.22
1999-12-31,4838000,2.22
2000-12-31,4933000,1.96
2001-12-31,4988000,1.11
2002-12-31,5045000,1.14
2003-12-31,5101000,1.11
2004-12-31,5159000,1.14
2005-12-31,5217000,1.12
2006-12-31,5276000,1.13
2007-12-31,5335000,1.12
2008-12-31,5396000,1.14
2009-12-31,5456000,1.11
2010-12-31,5518000,1.14
2011-12-31,5580000,1.12
2012-12-31,5643000,1.13
2013-12-31,5706000,1.12
2014-12-31,5771000,1.14
2015-12-31,5836000,1.13
2016-12-31,5902000,1.13
2017-12-31,5968000,1.12
2018-12-31,6036000,1.14
2019-12-31,6079000,0.71
2020-12-31,6122000,0.71
2021-12-31,6167000,0.74
2022-12-31,6215000,0.78
2023-12-31,6265000,0.8
2024-12-31,6317000,0.83
2025-12-31,6372000,0.87
2026-12-31,6429000,0.89
2027-12-31,6487000,0.9
2028-12-31,6545000,0.89
2029-12-31,6605000,0.92
2030-12-31,6664000,0.89
2031-12-31,6723000,0.89
2032-12-31,6781000,0.86
2033-12-31,6839000,0.86
2034-12-31,6896000,0.83
2035-12-31,6952000,0.81
