date, Population, Annual Change
1950-12-31,836000
1951-12-31,864000,3.35
1952-12-31,893000,3.36
1953-12-31,922000,3.25
1954-12-31,953000,3.36
1955-12-31,985000,3.36
1956-12-31,1017000,3.25
1957-12-31,1051000,3.34
1958-12-31,1086000,3.33
1959-12-31,1122000,3.31
1960-12-31,1152000,2.67
1961-12-31,1162000,0.87
1962-12-31,1172000,0.86
1963-12-31,1182000,0.85
1964-12-31,1192000,0.85
1965-12-31,1203000,0.92
1966-12-31,1213000,0.83
1967-12-31,1223000,0.82
1968-12-31,1234000,0.9
1969-12-31,1244000,0.81
1970-12-31,1251000,0.56
1971-12-31,1247000,-0.32
1972-12-31,1242000,-0.4
1973-12-31,1238000,-0.32
1974-12-31,1233000,-0.4
1975-12-31,1228000,-0.41
1976-12-31,1224000,-0.33
1977-12-31,1219000,-0.41
1978-12-31,1215000,-0.33
1979-12-31,1210000,-0.41
1980-12-31,1207000,-0.25
1981-12-31,1209000,0.17
1982-12-31,1211000,0.17
1983-12-31,1213000,0.17
1984-12-31,1215000,0.16
1985-12-31,1217000,0.16
1986-12-31,1219000,0.16
1987-12-31,1221000,0.16
1988-12-31,1223000,0.16
1989-12-31,1225000,0.16
1990-12-31,1228000,0.24
1991-12-31,1236000,0.65
1992-12-31,1244000,0.65
1993-12-31,1253000,0.72
1994-12-31,1261000,0.64
1995-12-31,1269000,0.63
1996-12-31,1277000,0.63
1997-12-31,1286000,0.7
1998-12-31,1294000,0.62
1999-12-31,1303000,0.7
2000-12-31,1311000,0.61
2001-12-31,1317000,0.46
2002-12-31,1324000,0.53
2003-12-31,1330000,0.45
2004-12-31,1337000,0.53
2005-12-31,1344000,0.52
2006-12-31,1351000,0.52
2007-12-31,1358000,0.52
2008-12-31,1364000,0.44
2009-12-31,1371000,0.51
2010-12-31,1378000,0.51
2011-12-31,1385000,0.51
2012-12-31,1392000,0.51
2013-12-31,1399000,0.5
2014-12-31,1406000,0.5
2015-12-31,1413000,0.5
2016-12-31,1420000,0.5
2017-12-31,1428000,0.56
2018-12-31,1435000,0.49
2019-12-31,1436000,0.07
2020-12-31,1439000,0.21
2021-12-31,1443000,0.28
2022-12-31,1448000,0.35
2023-12-31,1455000,0.48
2024-12-31,1463000,0.55
2025-12-31,1473000,0.68
2026-12-31,1485000,0.81
2027-12-31,1497000,0.81
2028-12-31,1510000,0.87
2029-12-31,1523000,0.86
2030-12-31,1537000,0.92
2031-12-31,1550000,0.85
2032-12-31,1564000,0.9
2033-12-31,1577000,0.83
2034-12-31,1590000,0.82
2035-12-31,1603000,0.82
