date, Population, Annual Change
1950-12-31,996000
1951-12-31,1029000,3.31
1952-12-31,1064000,3.4
1953-12-31,1100000,3.38
1954-12-31,1137000,3.36
1955-12-31,1176000,3.43
1956-12-31,1216000,3.4
1957-12-31,1257000,3.37
1958-12-31,1299000,3.34
1959-12-31,1343000,3.39
1960-12-31,1384000,3.05
1961-12-31,1414000,2.17
1962-12-31,1445000,2.19
1963-12-31,1476000,2.15
1964-12-31,1508000,2.17
1965-12-31,1540000,2.12
1966-12-31,1573000,2.14
1967-12-31,1607000,2.16
1968-12-31,1642000,2.18
1969-12-31,1677000,2.13
1970-12-31,1706000,1.73
1971-12-31,1715000,0.53
1972-12-31,1723000,0.47
1973-12-31,1731000,0.46
1974-12-31,1739000,0.46
1975-12-31,1748000,0.52
1976-12-31,1756000,0.46
1977-12-31,1764000,0.46
1978-12-31,1773000,0.51
1979-12-31,1781000,0.45
1980-12-31,1794000,0.73
1981-12-31,1822000,1.56
1982-12-31,1849000,1.48
1983-12-31,1878000,1.57
1984-12-31,1906000,1.49
1985-12-31,1935000,1.52
1986-12-31,1965000,1.55
1987-12-31,1995000,1.53
1988-12-31,2025000,1.5
1989-12-31,2056000,1.53
1990-12-31,2087000,1.51
1991-12-31,2116000,1.39
1992-12-31,2146000,1.42
1993-12-31,2175000,1.35
1994-12-31,2206000,1.43
1995-12-31,2236000,1.36
1996-12-31,2268000,1.43
1997-12-31,2299000,1.37
1998-12-31,2331000,1.39
1999-12-31,2364000,1.42
2000-12-31,2395000,1.31
2001-12-31,2420000,1.04
2002-12-31,2445000,1.03
2003-12-31,2471000,1.06
2004-12-31,2497000,1.05
2005-12-31,2523000,1.04
2006-12-31,2549000,1.03
2007-12-31,2576000,1.06
2008-12-31,2603000,1.05
2009-12-31,2630000,1.04
2010-12-31,2658000,1.06
2011-12-31,2686000,1.05
2012-12-31,2714000,1.04
2013-12-31,2742000,1.03
2014-12-31,2771000,1.06
2015-12-31,2800000,1.05
2016-12-31,2829000,1.04
2017-12-31,2859000,1.06
2018-12-31,2889000,1.05
2019-12-31,2907000,0.62
2020-12-31,2926000,0.65
2021-12-31,2946000,0.68
2022-12-31,2967000,0.71
2023-12-31,2990000,0.78
2024-12-31,3014000,0.8
2025-12-31,3039000,0.83
2026-12-31,3066000,0.89
2027-12-31,3093000,0.88
2028-12-31,3121000,0.91
2029-12-31,3149000,0.9
2030-12-31,3177000,0.89
2031-12-31,3205000,0.88
2032-12-31,3233000,0.87
2033-12-31,3261000,0.87
2034-12-31,3288000,0.83
2035-12-31,3315000,0.82
