date, Population, Annual Change
1950-12-31,12338000
1951-12-31,12510000,1.39
1952-12-31,12684000,1.39
1953-12-31,12860000,1.39
1954-12-31,13038000,1.38
1955-12-31,13219000,1.39
1956-12-31,13403000,1.39
1957-12-31,13589000,1.39
1958-12-31,13778000,1.39
1959-12-31,13969000,1.39
1960-12-31,14164000,1.4
1961-12-31,14360000,1.38
1962-12-31,14560000,1.39
1963-12-31,14763000,1.39
1964-12-31,14969000,1.4
1965-12-31,15177000,1.39
1966-12-31,15388000,1.39
1967-12-31,15602000,1.39
1968-12-31,15820000,1.4
1969-12-31,16040000,1.39
1970-12-31,16191000,0.94
1971-12-31,16129000,-0.38
1972-12-31,16066000,-0.39
1973-12-31,16004000,-0.39
1974-12-31,15942000,-0.39
1975-12-31,15880000,-0.39
1976-12-31,15819000,-0.38
1977-12-31,15758000,-0.39
1978-12-31,15697000,-0.39
1979-12-31,15636000,-0.39
1980-12-31,15601000,-0.22
1981-12-31,15646000,0.29
1982-12-31,15691000,0.29
1983-12-31,15736000,0.29
1984-12-31,15782000,0.29
1985-12-31,15827000,0.29
1986-12-31,15872000,0.28
1987-12-31,15918000,0.29
1988-12-31,15964000,0.29
1989-12-31,16009000,0.28
1990-12-31,16086000,0.48
1991-12-31,16253000,1.04
1992-12-31,16423000,1.05
1993-12-31,16595000,1.05
1994-12-31,16768000,1.04
1995-12-31,16943000,1.04
1996-12-31,17120000,1.04
1997-12-31,17298000,1.04
1998-12-31,17479000,1.05
1999-12-31,17661000,1.04
2000-12-31,17813000,0.86
2001-12-31,17868000,0.31
2002-12-31,17922000,0.3
2003-12-31,17977000,0.31
2004-12-31,18032000,0.31
2005-12-31,18087000,0.31
2006-12-31,18142000,0.3
2007-12-31,18198000,0.31
2008-12-31,18254000,0.31
2009-12-31,18309000,0.3
2010-12-31,18365000,0.31
2011-12-31,18421000,0.3
2012-12-31,18478000,0.31
2013-12-31,18534000,0.3
2014-12-31,18591000,0.31
2015-12-31,18648000,0.31
2016-12-31,18705000,0.31
2017-12-31,18762000,0.3
2018-12-31,18819000,0.3
2019-12-31,18805000,-0.07
2020-12-31,18804000,-0.01
2021-12-31,18823000,0.1
2022-12-31,18867000,0.23
2023-12-31,18937000,0.37
2024-12-31,19034000,0.51
2025-12-31,19154000,0.63
2026-12-31,19293000,0.73
2027-12-31,19448000,0.8
2028-12-31,19613000,0.85
2029-12-31,19784000,0.87
2030-12-31,19958000,0.88
2031-12-31,20132000,0.87
2032-12-31,20306000,0.86
2033-12-31,20479000,0.85
2034-12-31,20649000,0.83
2035-12-31,20817000,0.81
