date, Population, Annual Change
1950-12-31,3128000
1951-12-31,3201000,2.33
1952-12-31,3276000,2.34
1953-12-31,3352000,2.32
1954-12-31,3431000,2.36
1955-12-31,3511000,2.33
1956-12-31,3593000,2.34
1957-12-31,3677000,2.34
1958-12-31,3763000,2.34
1959-12-31,3851000,2.34
1960-12-31,3930000,2.05
1961-12-31,3975000,1.15
1962-12-31,4021000,1.16
1963-12-31,4067000,1.14
1964-12-31,4114000,1.16
1965-12-31,4161000,1.14
1966-12-31,4208000,1.13
1967-12-31,4257000,1.16
1968-12-31,4306000,1.15
1969-12-31,4355000,1.14
1970-12-31,4396000,0.94
1971-12-31,4410000,0.32
1972-12-31,4424000,0.32
1973-12-31,4438000,0.32
1974-12-31,4453000,0.34
1975-12-31,4467000,0.31
1976-12-31,4481000,0.31
1977-12-31,4496000,0.33
1978-12-31,4510000,0.31
1979-12-31,4525000,0.33
1980-12-31,4540000,0.33
1981-12-31,4558000,0.4
1982-12-31,4575000,0.37
1983-12-31,4593000,0.39
1984-12-31,4611000,0.39
1985-12-31,4629000,0.39
1986-12-31,4647000,0.39
1987-12-31,4665000,0.39
1988-12-31,4683000,0.39
1989-12-31,4701000,0.38
1990-12-31,4725000,0.51
1991-12-31,4767000,0.89
1992-12-31,4809000,0.88
1993-12-31,4852000,0.89
1994-12-31,4895000,0.89
1995-12-31,4938000,0.88
1996-12-31,4982000,0.89
1997-12-31,5026000,0.88
1998-12-31,5070000,0.88
1999-12-31,5115000,0.89
2000-12-31,5156000,0.8
2001-12-31,5185000,0.56
2002-12-31,5213000,0.54
2003-12-31,5242000,0.56
2004-12-31,5271000,0.55
2005-12-31,5301000,0.57
2006-12-31,5330000,0.55
2007-12-31,5359000,0.54
2008-12-31,5389000,0.56
2009-12-31,5419000,0.56
2010-12-31,5449000,0.55
2011-12-31,5479000,0.55
2012-12-31,5510000,0.57
2013-12-31,5540000,0.54
2014-12-31,5571000,0.56
2015-12-31,5602000,0.56
2016-12-31,5633000,0.55
2017-12-31,5664000,0.55
2018-12-31,5695000,0.55
2019-12-31,5705000,0.18
2020-12-31,5717000,0.21
2021-12-31,5734000,0.3
2022-12-31,5756000,0.38
2023-12-31,5785000,0.5
2024-12-31,5821000,0.62
2025-12-31,5861000,0.69
2026-12-31,5907000,0.78
2027-12-31,5956000,0.83
2028-12-31,6008000,0.87
2029-12-31,6061000,0.88
2030-12-31,6114000,0.87
2031-12-31,6168000,0.88
2032-12-31,6221000,0.86
2033-12-31,6274000,0.85
2034-12-31,6326000,0.83
2035-12-31,6378000,0.82
