date, Population, Annual Change
1950-12-31,221000
1951-12-31,243000,9.95
1952-12-31,267000,9.88
1953-12-31,293000,9.74
1954-12-31,322000,9.9
1955-12-31,353000,9.63
1956-12-31,388000,9.92
1957-12-31,426000,9.79
1958-12-31,468000,9.86
1959-12-31,514000,9.83
1960-12-31,558000,8.56
1961-12-31,584000,4.66
1962-12-31,610000,4.45
1963-12-31,638000,4.59
1964-12-31,668000,4.7
1965-12-31,698000,4.49
1966-12-31,730000,4.58
1967-12-31,763000,4.52
1968-12-31,798000,4.59
1969-12-31,835000,4.64
1970-12-31,874000,4.67
1971-12-31,918000,5.03
1972-12-31,964000,5.01
1973-12-31,1012000,4.98
1974-12-31,1063000,5.04
1975-12-31,1117000,5.08
1976-12-31,1173000,5.01
1977-12-31,1231000,4.94
1978-12-31,1293000,5.04
1979-12-31,1358000,5.03
1980-12-31,1422000,4.71
1981-12-31,1473000,3.59
1982-12-31,1526000,3.6
1983-12-31,1581000,3.6
1984-12-31,1637000,3.54
1985-12-31,1696000,3.6
1986-12-31,1757000,3.6
1987-12-31,1820000,3.59
1988-12-31,1886000,3.63
1989-12-31,1954000,3.61
1990-12-31,2025000,3.63
1991-12-31,2101000,3.75
1992-12-31,2181000,3.81
1993-12-31,2263000,3.76
1994-12-31,2349000,3.8
1995-12-31,2437000,3.75
1996-12-31,2530000,3.82
1997-12-31,2625000,3.75
1998-12-31,2724000,3.77
1999-12-31,2827000,3.78
2000-12-31,2923000,3.4
2001-12-31,2989000,2.26
2002-12-31,3056000,2.24
2003-12-31,3124000,2.23
2004-12-31,3194000,2.24
2005-12-31,3266000,2.25
2006-12-31,3339000,2.24
2007-12-31,3414000,2.25
2008-12-31,3491000,2.26
2009-12-31,3569000,2.23
2010-12-31,3649000,2.24
2011-12-31,3731000,2.25
2012-12-31,3815000,2.25
2013-12-31,3900000,2.23
2014-12-31,3988000,2.26
2015-12-31,4077000,2.23
2016-12-31,4169000,2.26
2017-12-31,4263000,2.25
2018-12-31,4359000,2.25
2019-12-31,4436000,1.77
2020-12-31,4511000,1.69
2021-12-31,4584000,1.62
2022-12-31,4652000,1.48
2023-12-31,4717000,1.4
2024-12-31,4777000,1.27
2025-12-31,4834000,1.19
2026-12-31,4887000,1.1
2027-12-31,4938000,1.04
2028-12-31,4987000,0.99
2029-12-31,5034000,0.94
2030-12-31,5081000,0.93
2031-12-31,5126000,0.89
2032-12-31,5171000,0.88
2033-12-31,5215000,0.85
2034-12-31,5258000,0.82
2035-12-31,5301000,0.82
