date, Population, Annual Change
1950-12-31,1539000
1951-12-31,1564000,1.62
1952-12-31,1590000,1.66
1953-12-31,1616000,1.64
1954-12-31,1643000,1.67
1955-12-31,1670000,1.64
1956-12-31,1697000,1.62
1957-12-31,1725000,1.65
1958-12-31,1754000,1.68
1959-12-31,1782000,1.6
1960-12-31,1805000,1.29
1961-12-31,1810000,0.28
1962-12-31,1814000,0.22
1963-12-31,1818000,0.22
1964-12-31,1822000,0.22
1965-12-31,1826000,0.22
1966-12-31,1830000,0.22
1967-12-31,1834000,0.22
1968-12-31,1839000,0.27
1969-12-31,1843000,0.22
1970-12-31,1845000,0.11
1971-12-31,1842000,-0.16
1972-12-31,1838000,-0.22
1973-12-31,1834000,-0.22
1974-12-31,1831000,-0.16
1975-12-31,1827000,-0.22
1976-12-31,1823000,-0.22
1977-12-31,1820000,-0.16
1978-12-31,1816000,-0.22
1979-12-31,1813000,-0.17
1980-12-31,1807000,-0.33
1981-12-31,1793000,-0.77
1982-12-31,1780000,-0.73
1983-12-31,1766000,-0.79
1984-12-31,1753000,-0.74
1985-12-31,1740000,-0.74
1986-12-31,1727000,-0.75
1987-12-31,1714000,-0.75
1988-12-31,1701000,-0.76
1989-12-31,1688000,-0.76
1990-12-31,1681000,-0.41
1991-12-31,1688000,0.42
1992-12-31,1695000,0.41
1993-12-31,1703000,0.47
1994-12-31,1710000,0.41
1995-12-31,1717000,0.41
1996-12-31,1725000,0.47
1997-12-31,1732000,0.41
1998-12-31,1740000,0.46
1999-12-31,1747000,0.4
2000-12-31,1753000,0.34
2001-12-31,1751000,-0.11
2002-12-31,1749000,-0.11
2003-12-31,1747000,-0.11
2004-12-31,1745000,-0.11
2005-12-31,1743000,-0.11
2006-12-31,1741000,-0.11
2007-12-31,1739000,-0.11
2008-12-31,1737000,-0.12
2009-12-31,1735000,-0.12
2010-12-31,1733000,-0.12
2011-12-31,1731000,-0.12
2012-12-31,1730000,-0.06
2013-12-31,1728000,-0.12
2014-12-31,1726000,-0.12
2015-12-31,1724000,-0.12
2016-12-31,1722000,-0.12
2017-12-31,1720000,-0.12
2018-12-31,1718000,-0.12
2019-12-31,1710000,-0.47
2020-12-31,1704000,-0.35
2021-12-31,1700000,-0.23
2022-12-31,1699000,-0.06
2023-12-31,1702000,0.18
2024-12-31,1708000,0.35
2025-12-31,1716000,0.47
2026-12-31,1727000,0.64
2027-12-31,1740000,0.75
2028-12-31,1755000,0.86
2029-12-31,1770000,0.85
2030-12-31,1785000,0.85
2031-12-31,1800000,0.84
2032-12-31,1816000,0.89
2033-12-31,1831000,0.83
2034-12-31,1847000,0.87
2035-12-31,1862000,0.81
