date, Population, Annual Change
1950-12-31,1855000
1951-12-31,1887000,1.73
1952-12-31,1920000,1.75
1953-12-31,1953000,1.72
1954-12-31,1987000,1.74
1955-12-31,2021000,1.71
1956-12-31,2056000,1.73
1957-12-31,2091000,1.7
1958-12-31,2127000,1.72
1959-12-31,2164000,1.74
1960-12-31,2200000,1.66
1961-12-31,2231000,1.41
1962-12-31,2263000,1.43
1963-12-31,2295000,1.41
1964-12-31,2328000,1.44
1965-12-31,2361000,1.42
1966-12-31,2395000,1.44
1967-12-31,2429000,1.42
1968-12-31,2464000,1.44
1969-12-31,2499000,1.42
1970-12-31,2529000,1.2
1971-12-31,2541000,0.47
1972-12-31,2553000,0.47
1973-12-31,2565000,0.47
1974-12-31,2578000,0.51
1975-12-31,2590000,0.47
1976-12-31,2602000,0.46
1977-12-31,2615000,0.5
1978-12-31,2627000,0.46
1979-12-31,2640000,0.49
1980-12-31,2656000,0.61
1981-12-31,2685000,1.09
1982-12-31,2715000,1.12
1983-12-31,2745000,1.1
1984-12-31,2775000,1.09
1985-12-31,2805000,1.08
1986-12-31,2836000,1.11
1987-12-31,2867000,1.09
1988-12-31,2899000,1.12
1989-12-31,2930000,1.07
1990-12-31,2961000,1.06
1991-12-31,2987000,0.88
1992-12-31,3014000,0.9
1993-12-31,3041000,0.9
1994-12-31,3068000,0.89
1995-12-31,3095000,0.88
1996-12-31,3123000,0.9
1997-12-31,3151000,0.9
1998-12-31,3179000,0.89
1999-12-31,3207000,0.88
2000-12-31,3230000,0.72
2001-12-31,3235000,0.15
2002-12-31,3240000,0.15
2003-12-31,3246000,0.19
2004-12-31,3251000,0.15
2005-12-31,3256000,0.15
2006-12-31,3261000,0.15
2007-12-31,3267000,0.18
2008-12-31,3272000,0.15
2009-12-31,3277000,0.15
2010-12-31,3283000,0.18
2011-12-31,3288000,0.15
2012-12-31,3293000,0.15
2013-12-31,3298000,0.15
2014-12-31,3304000,0.18
2015-12-31,3309000,0.15
2016-12-31,3315000,0.18
2017-12-31,3320000,0.15
2018-12-31,3325000,0.15
2019-12-31,3318000,-0.21
2020-12-31,3314000,-0.12
2021-12-31,3313000,-0.03
2022-12-31,3318000,0.15
2023-12-31,3328000,0.3
2024-12-31,3343000,0.45
2025-12-31,3363000,0.6
2026-12-31,3386000,0.68
2027-12-31,3413000,0.8
2028-12-31,3441000,0.82
2029-12-31,3471000,0.87
2030-12-31,3501000,0.86
2031-12-31,3532000,0.89
2032-12-31,3563000,0.88
2033-12-31,3593000,0.84
2034-12-31,3623000,0.83
2035-12-31,3652000,0.8
