date, Population, Annual Change
1950-12-31,795000
1951-12-31,821000,3.27
1952-12-31,847000,3.17
1953-12-31,874000,3.19
1954-12-31,901000,3.09
1955-12-31,930000,3.22
1956-12-31,960000,3.23
1957-12-31,990000,3.13
1958-12-31,1021000,3.13
1959-12-31,1054000,3.23
1960-12-31,1089000,3.32
1961-12-31,1129000,3.67
1962-12-31,1171000,3.72
1963-12-31,1214000,3.67
1964-12-31,1259000,3.71
1965-12-31,1305000,3.65
1966-12-31,1354000,3.75
1967-12-31,1404000,3.69
1968-12-31,1456000,3.7
1969-12-31,1509000,3.64
1970-12-31,1556000,3.11
1971-12-31,1577000,1.35
1972-12-31,1598000,1.33
1973-12-31,1619000,1.31
1974-12-31,1641000,1.36
1975-12-31,1663000,1.34
1976-12-31,1685000,1.32
1977-12-31,1707000,1.31
1978-12-31,1730000,1.35
1979-12-31,1753000,1.33
1980-12-31,1780000,1.54
1981-12-31,1819000,2.19
1982-12-31,1858000,2.14
1983-12-31,1899000,2.21
1984-12-31,1940000,2.16
1985-12-31,1982000,2.16
1986-12-31,2025000,2.17
1987-12-31,2069000,2.17
1988-12-31,2114000,2.17
1989-12-31,2160000,2.18
1990-12-31,2206000,2.13
1991-12-31,2253000,2.13
1992-12-31,2302000,2.17
1993-12-31,2351000,2.13
1994-12-31,2401000,2.13
1995-12-31,2453000,2.17
1996-12-31,2505000,2.12
1997-12-31,2559000,2.16
1998-12-31,2613000,2.11
1999-12-31,2669000,2.14
2000-12-31,2720000,1.91
2001-12-31,2753000,1.21
2002-12-31,2787000,1.24
2003-12-31,2820000,1.18
2004-12-31,2855000,1.24
2005-12-31,2889000,1.19
2006-12-31,2924000,1.21
2007-12-31,2960000,1.23
2008-12-31,2996000,1.22
2009-12-31,3032000,1.2
2010-12-31,3069000,1.22
2011-12-31,3106000,1.21
2012-12-31,3143000,1.19
2013-12-31,3182000,1.24
2014-12-31,3220000,1.19
2015-12-31,3259000,1.21
2016-12-31,3299000,1.23
2017-12-31,3339000,1.21
2018-12-31,3379000,1.2
2019-12-31,3406000,0.8
2020-12-31,3433000,0.79
2021-12-31,3461000,0.82
2022-12-31,3489000,0.81
2023-12-31,3519000,0.86
2024-12-31,3549000,0.85
2025-12-31,3581000,0.9
2026-12-31,3613000,0.89
2027-12-31,3646000,0.91
2028-12-31,3680000,0.93
2029-12-31,3713000,0.9
2030-12-31,3747000,0.92
2031-12-31,3780000,0.88
2032-12-31,3813000,0.87
2033-12-31,3845000,0.84
2034-12-31,3877000,0.83
2035-12-31,3909000,0.83
