date, Population, Annual Change
1950-12-31,1407000
1951-12-31,1432000,1.78
1952-12-31,1457000,1.75
1953-12-31,1483000,1.78
1954-12-31,1509000,1.75
1955-12-31,1535000,1.72
1956-12-31,1562000,1.76
1957-12-31,1590000,1.79
1958-12-31,1618000,1.76
1959-12-31,1646000,1.73
1960-12-31,1673000,1.64
1961-12-31,1693000,1.2
1962-12-31,1714000,1.24
1963-12-31,1735000,1.23
1964-12-31,1756000,1.21
1965-12-31,1777000,1.2
1966-12-31,1799000,1.24
1967-12-31,1821000,1.22
1968-12-31,1843000,1.21
1969-12-31,1866000,1.25
1970-12-31,1882000,0.86
1971-12-31,1879000,-0.16
1972-12-31,1875000,-0.21
1973-12-31,1872000,-0.16
1974-12-31,1868000,-0.21
1975-12-31,1865000,-0.16
1976-12-31,1861000,-0.21
1977-12-31,1858000,-0.16
1978-12-31,1855000,-0.16
1979-12-31,1851000,-0.22
1980-12-31,1851000,0
1981-12-31,1861000,0.54
1982-12-31,1870000,0.48
1983-12-31,1880000,0.53
1984-12-31,1890000,0.53
1985-12-31,1899000,0.48
1986-12-31,1909000,0.53
1987-12-31,1919000,0.52
1988-12-31,1929000,0.52
1989-12-31,1939000,0.52
1990-12-31,1950000,0.57
1991-12-31,1962000,0.62
1992-12-31,1975000,0.66
1993-12-31,1988000,0.66
1994-12-31,2001000,0.65
1995-12-31,2014000,0.65
1996-12-31,2027000,0.65
1997-12-31,2041000,0.69
1998-12-31,2054000,0.64
1999-12-31,2067000,0.63
2000-12-31,2079000,0.58
2001-12-31,2087000,0.38
2002-12-31,2094000,0.34
2003-12-31,2101000,0.33
2004-12-31,2108000,0.33
2005-12-31,2116000,0.38
2006-12-31,2123000,0.33
2007-12-31,2130000,0.33
2008-12-31,2138000,0.38
2009-12-31,2145000,0.33
2010-12-31,2153000,0.37
2011-12-31,2160000,0.33
2012-12-31,2168000,0.37
2013-12-31,2175000,0.32
2014-12-31,2183000,0.37
2015-12-31,2190000,0.32
2016-12-31,2198000,0.37
2017-12-31,2205000,0.32
2018-12-31,2213000,0.36
2019-12-31,2212000,-0.05
2020-12-31,2213000,0.05
2021-12-31,2216000,0.14
2022-12-31,2221000,0.23
2023-12-31,2230000,0.41
2024-12-31,2242000,0.54
2025-12-31,2256000,0.62
2026-12-31,2273000,0.75
2027-12-31,2291000,0.79
2028-12-31,2311000,0.87
2029-12-31,2331000,0.87
2030-12-31,2351000,0.86
2031-12-31,2372000,0.89
2032-12-31,2393000,0.89
2033-12-31,2413000,0.84
2034-12-31,2433000,0.83
2035-12-31,2453000,0.82
