date, Population, Annual Change
1950-12-31,300000
1951-12-31,323000,7.67
1952-12-31,349000,8.05
1953-12-31,376000,7.74
1954-12-31,405000,7.71
1955-12-31,437000,7.9
1956-12-31,472000,8.01
1957-12-31,509000,7.84
1958-12-31,549000,7.86
1959-12-31,592000,7.83
1960-12-31,632000,6.76
1961-12-31,652000,3.16
1962-12-31,674000,3.37
1963-12-31,696000,3.26
1964-12-31,718000,3.16
1965-12-31,742000,3.34
1966-12-31,766000,3.23
1967-12-31,791000,3.26
1968-12-31,817000,3.29
1969-12-31,843000,3.18
1970-12-31,874000,3.68
1971-12-31,914000,4.58
1972-12-31,956000,4.6
1973-12-31,1000000,4.6
1974-12-31,1046000,4.6
1975-12-31,1094000,4.59
1976-12-31,1144000,4.57
1977-12-31,1197000,4.63
1978-12-31,1252000,4.59
1979-12-31,1309000,4.55
1980-12-31,1362000,4.05
1981-12-31,1394000,2.35
1982-12-31,1427000,2.37
1983-12-31,1460000,2.31
1984-12-31,1495000,2.4
1985-12-31,1530000,2.34
1986-12-31,1566000,2.35
1987-12-31,1603000,2.36
1988-12-31,1641000,2.37
1989-12-31,1679000,2.32
1990-12-31,1717000,2.26
1991-12-31,1749000,1.86
1992-12-31,1783000,1.94
1993-12-31,1816000,1.85
1994-12-31,1851000,1.93
1995-12-31,1886000,1.89
1996-12-31,1922000,1.91
1997-12-31,1958000,1.87
1998-12-31,1995000,1.89
1999-12-31,2033000,1.9
2000-12-31,2071000,1.87
2001-12-31,2106000,1.69
2002-12-31,2142000,1.71
2003-12-31,2179000,1.73
2004-12-31,2216000,1.7
2005-12-31,2253000,1.67
2006-12-31,2292000,1.73
2007-12-31,2331000,1.7
2008-12-31,2371000,1.72
2009-12-31,2411000,1.69
2010-12-31,2452000,1.7
2011-12-31,2494000,1.71
2012-12-31,2536000,1.68
2013-12-31,2580000,1.74
2014-12-31,2623000,1.67
2015-12-31,2668000,1.72
2016-12-31,2714000,1.72
2017-12-31,2760000,1.69
2018-12-31,2807000,1.7
2019-12-31,2842000,1.25
2020-12-31,2877000,1.23
2021-12-31,2911000,1.18
2022-12-31,2945000,1.17
2023-12-31,2977000,1.09
2024-12-31,3009000,1.07
2025-12-31,3040000,1.03
2026-12-31,3070000,0.99
2027-12-31,3100000,0.98
2028-12-31,3130000,0.97
2029-12-31,3159000,0.93
2030-12-31,3188000,0.92
2031-12-31,3216000,0.88
2032-12-31,3244000,0.87
2033-12-31,3272000,0.86
2034-12-31,3299000,0.83
2035-12-31,3326000,0.82
