date, Population, Annual Change
1950-12-31,1068000
1951-12-31,1122000,5.06
1952-12-31,1178000,4.99
1953-12-31,1238000,5.09
1954-12-31,1300000,5.01
1955-12-31,1365000,5
1956-12-31,1434000,5.05
1957-12-31,1506000,5.02
1958-12-31,1581000,4.98
1959-12-31,1661000,5.06
1960-12-31,1744000,5
1961-12-31,1830000,4.93
1962-12-31,1892000,3.39
1963-12-31,1957000,3.44
1964-12-31,2024000,3.42
1965-12-31,2093000,3.41
1966-12-31,2165000,3.44
1967-12-31,2252000,4.02
1968-12-31,2343000,4.04
1969-12-31,2437000,4.01
1970-12-31,2535000,4.02
1971-12-31,2631000,3.79
1972-12-31,2665000,1.29
1973-12-31,2700000,1.31
1974-12-31,2735000,1.3
1975-12-31,2770000,1.28
1976-12-31,2807000,1.34
1977-12-31,2856000,1.75
1978-12-31,2906000,1.75
1979-12-31,2956000,1.72
1980-12-31,3008000,1.76
1981-12-31,3062000,1.8
1982-12-31,3133000,2.32
1983-12-31,3205000,2.3
1984-12-31,3280000,2.34
1985-12-31,3355000,2.29
1986-12-31,3434000,2.35
1987-12-31,3524000,2.62
1988-12-31,3616000,2.61
1989-12-31,3710000,2.6
1990-12-31,3807000,2.61
1991-12-31,3904000,2.55
1992-12-31,3976000,1.84
1993-12-31,4048000,1.81
1994-12-31,4122000,1.83
1995-12-31,4197000,1.82
1996-12-31,4274000,1.83
1997-12-31,4355000,1.9
1998-12-31,4437000,1.88
1999-12-31,4521000,1.89
2000-12-31,4607000,1.9
2001-12-31,4694000,1.89
2002-12-31,4777000,1.77
2003-12-31,4861000,1.76
2004-12-31,4948000,1.79
2005-12-31,5035000,1.76
2006-12-31,5125000,1.79
2007-12-31,5216000,1.78
2008-12-31,5309000,1.78
2009-12-31,5403000,1.77
2010-12-31,5499000,1.78
2011-12-31,5593000,1.71
2012-12-31,5660000,1.2
2013-12-31,5728000,1.2
2014-12-31,5797000,1.2
2015-12-31,5867000,1.21
2016-12-31,5938000,1.21
2017-12-31,6010000,1.21
2018-12-31,6082000,1.2
2019-12-31,6139000,0.94
2020-12-31,6197000,0.94
2021-12-31,6255000,0.94
2022-12-31,6313000,0.93
2023-12-31,6372000,0.93
2024-12-31,6431000,0.93
2025-12-31,6491000,0.93
2026-12-31,6551000,0.92
2027-12-31,6612000,0.93
2028-12-31,6672000,0.91
2029-12-31,6733000,0.91
2030-12-31,6793000,0.89
2031-12-31,6853000,0.88
2032-12-31,6912000,0.86
2033-12-31,6971000,0.85
2034-12-31,7029000,0.83
2035-12-31,7088000,0.84
