date, Population, Annual Change
1950-12-31,1298000
1951-12-31,1343000,3.47
1952-12-31,1390000,3.5
1953-12-31,1438000,3.45
1954-12-31,1487000,3.41
1955-12-31,1539000,3.5
1956-12-31,1592000,3.44
1957-12-31,1647000,3.45
1958-12-31,1704000,3.46
1959-12-31,1763000,3.46
1960-12-31,1823000,3.4
1961-12-31,1881000,3.18
1962-12-31,1942000,3.24
1963-12-31,2004000,3.19
1964-12-31,2069000,3.24
1965-12-31,2135000,3.19
1966-12-31,2204000,3.23
1967-12-31,2275000,3.22
1968-12-31,2348000,3.21
1969-12-31,2423000,3.19
1970-12-31,2488000,2.68
1971-12-31,2515000,1.09
1972-12-31,2542000,1.07
1973-12-31,2570000,1.1
1974-12-31,2597000,1.05
1975-12-31,2626000,1.12
1976-12-31,2654000,1.07
1977-12-31,2683000,1.09
1978-12-31,2712000,1.08
1979-12-31,2741000,1.07
1980-12-31,2777000,1.31
1981-12-31,2832000,1.98
1982-12-31,2888000,1.98
1983-12-31,2945000,1.97
1984-12-31,3004000,2
1985-12-31,3063000,1.96
1986-12-31,3124000,1.99
1987-12-31,3186000,1.98
1988-12-31,3249000,1.98
1989-12-31,3314000,2
1990-12-31,3376000,1.87
1991-12-31,3430000,1.6
1992-12-31,3484000,1.57
1993-12-31,3539000,1.58
1994-12-31,3595000,1.58
1995-12-31,3651000,1.56
1996-12-31,3709000,1.59
1997-12-31,3768000,1.59
1998-12-31,3827000,1.57
1999-12-31,3888000,1.59
2000-12-31,3949000,1.57
2001-12-31,4010000,1.54
2002-12-31,4072000,1.55
2003-12-31,4135000,1.55
2004-12-31,4199000,1.55
2005-12-31,4264000,1.55
2006-12-31,4330000,1.55
2007-12-31,4397000,1.55
2008-12-31,4465000,1.55
2009-12-31,4534000,1.55
2010-12-31,4604000,1.54
2011-12-31,4676000,1.56
2012-12-31,4748000,1.54
2013-12-31,4821000,1.54
2014-12-31,4896000,1.56
2015-12-31,4972000,1.55
2016-12-31,5049000,1.55
2017-12-31,5127000,1.54
2018-12-31,5207000,1.56
2019-12-31,5264000,1.09
2020-12-31,5322000,1.1
2021-12-31,5378000,1.05
2022-12-31,5434000,1.04
2023-12-31,5490000,1.03
2024-12-31,5545000,1
2025-12-31,5600000,0.99
2026-12-31,5654000,0.96
2027-12-31,5708000,0.96
2028-12-31,5762000,0.95
2029-12-31,5815000,0.92
2030-12-31,5868000,0.91
2031-12-31,5920000,0.89
2032-12-31,5971000,0.86
2033-12-31,6022000,0.85
2034-12-31,6072000,0.83
2035-12-31,6122000,0.82
