Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers
Arizona Diamondbacks,2509924,30987,26.7,29.4,107,107,1,2,11,$66202712,2:52,Melvin
Atlanta Braves,2532834,31270,27.2,28.6,98,97,3,2,12,$102365683,2:52,Cox
Baltimore Orioles,1950075,24376,30.1,27.9,101,102,0,1,9,$67196246,2:58,Trembley
Boston Red Sox,3048250,37633,29.8,29.2,107,106,1,7,21,$133390035,3:06,Francona
Chicago Cubs,3300200,40743,30.1,28.9,107,106,0,8,14,$120345833,2:55,Piniella
Chicago White Sox,2500648,30496,30.6,28.3,104,105,2,2,16,$121189332,2:51,Guillén
Cincinnati Reds,2058632,25415,28.6,28.7,102,102,1,1,10,$74167695,2:55,Baker
Cleveland Indians,2169760,26787,27.6,28.6,98,97,0,2,12,$78970066,3:01,Wedge
Colorado Rockies,2650218,32719,27.5,28.5,109,109,1,2,12,$68655500,2:54,Hurdle
Detroit Tigers,3202645,39539,30.3,29.9,102,102,1,1,17,$138785196,3:00,Leyland
Florida Marlins,1335076,16482,28.0,26.6,101,101,0,2,8,$21811500,2:56,González
Houston Astros,2779487,34744,31.1,30.9,97,98,0,2,13,$87946807,2:52,Cooper
Kansas City Royals,1578922,19493,28.0,27.6,98,99,0,1,8,$59445500,2:54,Hillman
Los Angeles Angels of Anaheim,3336747,41194,29.0,27.6,102,102,1,3,16,$119216333,2:47,Scioscia
Los Angeles Dodgers,3730553,46056,28.5,29.5,98,97,1,1,18,$118588536,2:57,Torre
Milwaukee Brewers,3068458,37882,28.7,29.9,98,98,0,3,14,$80937499,2:55,Yost and Sveum
Minnesota Twins,2302431,28425,26.2,27.5,96,96,1,3,11,$56932766,2:53,Gardenhire
New York Mets,4042045,49902,30.1,29.0,98,98,1,2,11,$137793376,3:02,Randolph and Manuel
New York Yankees,4298655,53070,31.4,30.6,103,101,4,3,19,$212286789,3:05,Girardi
Oakland Athletics,1665256,20559,27.2,26.5,94,94,1,1,8,$47967126,2:48,Geren
Philadelphia Phillies,3422583,42254,30.1,30.6,102,101,0,2,12,$97879880,2:55,Manuel
Pittsburgh Pirates,1609076,19865,28.4,26.5,96,97,0,1,10,$48689783,2:54,Russell
San Diego Padres,2427535,29970,28.9,30.2,87,88,2,1,11,$73677616,2:52,Black
Seattle Mariners,2329702,28762,29.7,28.5,96,97,1,1,11,$117666482,2:47,McLaren and Riggleman
San Francisco Giants,2863837,35356,29.6,27.1,102,102,0,2,12,$76594500,2:53,Bochy
St. Louis Cardinals,3432917,42382,28.8,30.2,98,98,0,2,12,$99624449,2:54,La Russa
Tampa Bay Rays,1811986,22370,27.0,27.5,101,101,0,3,13,$44970597,3:02,Maddon
Texas Rangers,1945677,24021,27.7,28.1,101,102,0,4,13,$68037326,3:02,Washington
Toronto Blue Jays,2399786,29627,31.0,28.6,97,97,3,1,13,$97793900,2:51,Gibbons and Gaston
Washington Nationals,2320400,29005,27.7,27.3,98,100,0,1,13,$54961000,2:50,Acta
