"","Rk","Tm.x","W","L","WL","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","vEast","vCent","vWest","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","≥.500","<.500","last10","last20","last30","Year.x","tYear","Tm.y","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Time","Chall","Succ","Succ%","Managers","Year.y"
"1",1,"Atlanta Braves",104,58,0.642,"L 1",5.8,4.4,1.4,-0.1,1.4,"101-61",3,"35-17","22-9","21-12","26-20","52-29","52-29","8-3","23-18","81-49","23-9","55-33","49-25","7-3","11-9","17-13",2023,"Atlanta Braves2023","Atlanta Braves",3191505,39401,27.9,29.9,103,101,0,8,16,"$194,197,500",02:42:00,25,14,"56%","Snitker",2023
"2",2,"Baltimore Orioles",101,61,0.623,"L 1",5,4.2,0.8,0,0.8,"94-68",7,"32-20","22-10","21-11","26-20","49-32","52-29","11-6","30-16","65-44","36-17","51-39","50-22","6-4","11-9","18-12",2023,"Baltimore Orioles2023","Baltimore Orioles",1936798,23911,27.2,28.4,96,96,0,4,10,"$82,758,114",02:47:00,41,17,"41%","Hyde",2023
"3",3,"Los Angeles Dodgers",100,62,0.617,"W 1",5.6,4.3,1.3,-0.1,1.2,"100-62",0,"17-14","19-14","34-18","30-16","53-28","47-34","6-6","16-15","74-39","26-23","52-36","48-26","6-4","13-7","17-13",2023,"Los Angeles Dodgers2023","Los Angeles Dodgers",3837079,47371,30.9,28.1,102,99,0,5,12,"$227,091,667",02:43:00,39,19,"48%","Roberts",2023
"4",4,"Tampa Bay Rays",99,63,0.611,"W 2",5.3,4.1,1.2,0,1.2,"100-62",-1,"31-21","23-9","18-14","27-19","53-28","46-35","7-5","22-25","75-52","24-11","48-44","51-19","6-4","13-7","19-11",2023,"Tampa Bay Rays2023","Tampa Bay Rays",1440301,17781,26.8,28.5,98,97,0,4,7,"$75,441,212",02:38:00,55,26,"47%","Cash",2023
"5",5,"Milwaukee Brewers",92,70,0.568,"W 1",4.5,4,0.5,0,0.5,"90-72",2,"18-14","33-19","13-19","28-18","49-32","43-38","10-5","29-18","70-44","22-26","51-38","41-32","6-4","13-7","18-12",2023,"Milwaukee Brewers2023","Milwaukee Brewers",2551347,31498,27.7,29.3,98,98,0,2,11,"$138,288,760",02:40:00,29,14,"48%","Counsell",2023
"6",6,"Houston Astros",90,72,0.556,"W 4",5.1,4.3,0.8,-0.1,0.7,"93-69",-3,"16-17","14-17","32-20","28-18","39-42","51-30","1-8","20-21","62-51","28-21","42-43","48-29","6-4","10-10","16-14",2023,"Houston Astros2023","Houston Astros",3052347,37683,28.8,29.2,100,98,0,3,9,"$240,388,766",02:45:00,28,18,"64%","Baker",2023
"7",7,"Philadelphia Phillies",90,72,0.556,"W 1",4.9,4.4,0.5,0,0.5,"89-73",1,"25-27","19-12","18-15","28-18","49-32","41-40","10-7","29-24","60-51","30-21","47-43","43-29","7-3","12-8","16-14",2023,"Philadelphia Phillies2023","Philadelphia Phillies",3052605,37686,28.4,29.8,98,98,0,2,12,"$241,362,606",02:44:00,36,18,"50%","Thomson",2023
"8",8,"Texas Rangers",90,72,0.556,"L 1",5.4,4.4,1,-0.1,0.9,"96-66",-6,"20-12","19-13","29-23","22-24","50-31","40-41","2-8","14-22","62-56","28-16","42-45","48-27","6-4","12-8","15-15",2023,"Texas Rangers2023","Texas Rangers",2533044,31272,28.3,30.4,104,104,0,6,11,"$248,537,867",02:40:00,29,11,"37%","Bochy",2023
"9",9,"Toronto Blue Jays",89,73,0.549,"L 2",4.6,4.1,0.5,0.1,0.5,"89-73",0,"21-31","22-10","16-16","30-16","43-38","46-35","10-9","25-20","69-58","20-15","43-50","46-23","4-6","10-10","17-13",2023,"Toronto Blue Jays2023","Toronto Blue Jays",3021904,37307,28.8,30.6,99,99,0,5,16,"$211,190,269",02:45:00,52,18,"34%","Schneider",2023
"10",10,"Seattle Mariners",88,74,0.543,"W 1",4.7,4.1,0.6,-0.1,0.6,"91-71",-3,"13-18","20-13","33-19","22-24","45-36","43-38","6-14","25-26","66-55","22-19","38-48","50-26","4-6","9-11","13-17",2023,"Seattle Mariners2023","Seattle Mariners",2690418,33215,27.8,27.4,95,94,0,3,9,"$128,155,663",02:43:00,35,16,"45%","Servais",2023
"11",11,"Minnesota Twins",87,75,0.537,"L 1",4.8,4.1,0.7,-0.2,0.6,"93-69",-6,"13-19","29-23","20-12","25-21","47-34","40-41","12-8","19-27","66-58","21-17","37-36","50-39","7-3","12-8","18-12",2023,"Minnesota Twins2023","Minnesota Twins",1974124,24372,28.5,29,101,100,0,2,8,"$137,798,640",02:42:00,34,16,"47%","Baldelli",2023
"12",12,"Arizona Diamondbacks",84,78,0.519,"L 4",4.6,4.7,-0.1,0,-0.1,"80-82",4,"14-18","20-12","29-23","21-25","43-38","41-40","5-4","21-21","56-57","28-21","40-50","44-28","4-6","10-10","15-15",2023,"Arizona Diamondbacks2023","Arizona Diamondbacks",1961182,24212,27.4,28.5,99,99,0,4,8,"$115,247,571",02:43:00,39,26,"66%","Lovullo",2023
"13",13,"Miami Marlins",84,78,0.519,"L 1",4.1,4.5,-0.4,0.1,-0.3,"75-87",9,"26-26","18-15","14-17","26-20","46-35","38-43","7-3","33-14","64-59","20-19","38-50","46-28","5-5","11-9","18-12",2023,"Miami Marlins2023","Miami Marlins",1162819,14356,29.4,27.6,101,102,0,2,15,"$114,351,500",02:38:00,29,21,"72%","Schumaker",2023
"14",14,"Chicago Cubs",83,79,0.512,"L 1",5.1,4.5,0.6,-0.1,0.5,"90-72",-7,"11-20","30-22","17-16","25-21","45-36","38-43","3-6","21-24","54-57","29-22","38-51","45-28","4-6","7-13","13-17",2023,"Chicago Cubs2023","Chicago Cubs",2775149,34261,28.4,29.6,103,102,0,3,10,"$162,918,250",02:43:00,46,20,"43%","Ross",2023
"15",15,"San Diego Padres",82,80,0.506,"W 5",4.6,4,0.6,0,0.6,"92-70",-10,"16-16","11-21","27-25","28-18","44-37","38-43","2-12","9-23","54-61","28-19","40-51","42-29","8-2","15-5","20-10",2023,"San Diego Padres2023","San Diego Padres",3271554,40390,28.4,30.7,94,93,0,2,15,"$236,200,139",02:46:00,39,17,"43%","Melvin",2023
"16",16,"Cincinnati Reds",82,80,0.506,"L 2",4.8,5.1,-0.2,0,-0.2,"77-85",5,"15-17","21-31","18-14","28-18","38-43","44-37","10-5","34-29","59-55","23-25","41-47","41-33","3-7","9-11","14-16",2023,"Cincinnati Reds2023","Cincinnati Reds",2038302,25164,26.8,27.7,103,104,0,1,3,"$77,877,833",02:47:00,53,21,"39%","Bell",2023
"17",17,"New York Yankees",82,80,0.506,"L 1",4.2,4.3,-0.2,0.1,0,"78-84",4,"22-30","18-14","19-13","23-23","42-39","40-41","6-9","17-23","67-67","15-13","47-46","35-34","6-4","12-8","18-12",2023,"New York Yankees2023","New York Yankees",3269016,40358,28.5,29.1,102,101,0,2,12,"$259,417,008",02:42:00,30,18,"60%","Boone",2023
"18",18,"San Francisco Giants",79,83,0.488,"L 1",4.2,4.4,-0.3,0,-0.3,"76-86",3,"13-18","20-13","26-26","20-26","45-36","34-47","11-5","25-19","51-63","28-20","46-55","33-28","3-7","7-13","10-20",2023,"San Francisco Giants2023","San Francisco Giants",2500153,30866,28.5,30,96,96,0,2,11,"$177,920,416",02:39:00,46,26,"56%","Kapler and Correa",2023
"19",19,"Detroit Tigers",78,84,0.481,"W 2",4.1,4.6,-0.5,-0.1,-0.6,"73-89",5,"7-25","35-17","15-17","21-25","37-44","41-40","10-8","21-20","62-62","16-22","31-54","47-30","7-3","13-7","19-11",2023,"Detroit Tigers2023","Detroit Tigers",1612876,19912,27.4,27.7,102,103,0,1,5,"$119,236,836",02:38:00,37,12,"32%","Hinch",2023
"20",20,"Boston Red Sox",78,84,0.481,"W 1",4.8,4.8,0,0.1,0.1,"81-81",-3,"24-28","19-13","15-17","20-26","39-42","39-42","4-6","18-25","54-66","24-18","51-55","27-29","3-7","6-14","9-21",2023,"Boston Red Sox2023","Boston Red Sox",2672130,32989,28.6,30,106,106,0,1,7,"$181,282,500",02:45:00,19,10,"52%","Cora",2023
"21",21,"Cleveland Guardians",76,86,0.469,"L 2",4.1,4.3,-0.2,-0.1,-0.3,"77-85",-1,"16-16","23-29","17-15","20-26","42-39","34-47","11-9","27-31","52-51","24-35","41-45","35-41","4-6","8-12","14-16",2023,"Cleveland Guardians2023","Cleveland Guardians",1834068,22643,26.7,26.1,97,97,0,2,9,"$70,114,729",02:39:00,41,23,"56%","Francona",2023
"22",22,"Pittsburgh Pirates",76,86,0.469,"W 1",4.3,4.9,-0.6,0,-0.6,"71-91",5,"16-17","25-27","16-15","19-27","39-42","37-44","3-9","22-17","50-58","26-28","40-62","36-24","5-5","10-10","17-13",2023,"Pittsburgh Pirates2023","Pittsburgh Pirates",1630624,20131,27.3,27.6,99,101,0,2,5,"$72,407,500",02:40:00,41,17,"41%","Shelton",2023
"23",23,"New York Mets",75,87,0.463,"L 1",4.4,4.5,-0.1,0,0,"80-82",-5,"25-27","13-19","18-14","19-27","43-38","32-49","7-3","25-28","57-52","18-35","45-57","30-30","4-6","10-10","15-15",2023,"New York Mets2023","New York Mets",2573555,31772,28.9,31.9,97,96,0,2,13,"$208,427,344",02:45:00,27,10,"37%","Showalter",2023
"24",24,"Los Angeles Angels",73,89,0.451,"W 1",4.6,5.1,-0.6,0,-0.5,"73-89",0,"14-18","18-14","22-30","19-27","38-43","35-46","7-8","22-21","57-64","16-25","35-63","38-26","4-6","8-12","10-20",2023,"Los Angeles Angels2023","Los Angeles Angels",2640575,32600,28.6,28,104,104,0,3,13,"$218,537,055",02:44:00,28,6,"21%","Nevin",2023
