Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,New York Yankees,103,59,.636,5.6,4.6,1.0,0.3,1.3,95-67,8,45-27,25-9,23-15,10-8,57-24,46-35,7-3,22-16,67-41,36-18,52-35,51-24
2,Los Angeles Angels of Anaheim,97,65,.599,5.5,4.7,0.8,0.3,1.0,92-70,5,26-17,27-17,30-27,14-4,49-32,48-33,7-4,27-18,60-48,37-17,50-44,47-21
3,Los Angeles Dodgers,95,67,.586,4.8,3.8,1.0,-0.2,0.8,99-63,-4,18-13,22-19,46-26,9-9,50-31,45-36,12-9,28-22,68-47,27-20,48-35,47-32
4,Boston Red Sox,95,67,.586,5.4,4.5,0.8,0.3,1.1,93-69,2,45-27,26-12,13-21,11-7,56-25,39-42,4-6,22-17,65-42,30-25,44-41,51-26
5,Philadelphia Phillies,93,69,.574,5.1,4.4,0.7,-0.2,0.4,92-70,1,44-28,23-16,20-13,6-12,45-36,48-33,11-5,24-21,64-53,29-16,40-36,53-33
6,Colorado Rockies,92,70,.568,5.0,4.4,0.5,-0.2,0.4,90-72,2,17-16,31-11,33-39,11-4,51-30,41-40,4-5,23-20,65-44,27-26,38-43,54-27
7,St. Louis Cardinals,91,71,.562,4.5,4.0,0.6,-0.4,0.1,91-71,0,17-16,46-34,19-15,9-6,46-35,45-36,5-6,24-21,63-50,28-21,28-32,63-39
8,San Francisco Giants,88,74,.543,4.1,3.8,0.3,-0.2,0.1,86-76,2,19-16,22-18,38-34,9-6,52-29,36-45,9-7,21-22,65-53,23-21,39-40,49-34
9,Texas Rangers,87,75,.537,4.8,4.6,0.3,0.3,0.5,85-77,2,27-20,21-19,30-27,9-9,48-33,39-42,6-4,19-18,58-48,29-27,46-44,41-31
10,Florida Marlins,87,75,.537,4.8,4.7,0.0,-0.2,-0.1,82-80,5,42-30,18-21,17-16,10-8,43-38,44-37,7-7,30-20,58-53,29-22,39-41,48-34
11,Minnesota Twins,87,76,.534,5.0,4.7,0.3,0.1,0.4,86-77,1,10-22,46-27,19-21,12-6,49-33,38-43,7-7,24-20,59-44,28-32,36-38,51-38
12,Atlanta Braves,86,76,.531,4.5,4.0,0.6,-0.2,0.4,91-71,-5,41-31,20-20,18-17,7-8,40-41,46-35,9-7,27-25,55-54,31-22,40-39,46-37
13,Detroit Tigers,86,77,.528,4.6,4.6,0.0,0.1,0.1,81-82,5,15-21,39-34,22-14,10-8,51-30,35-47,6-5,28-22,57-57,29-20,36-39,50-38
