Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2019,"HOU",162,2309,6394,288,920,891,67,0.100875821,0.182358461,0.221450205,0.296489563,0.274006769,0.352452593,0.495456974,0.35467181727992597,,124.17719067960105,-3.1802469458198175,194.13905165486318,19.528418570756912,43.26721522738458
2023,"ATL",162,2278,6249,307,947,916,132,0.086093775,0.206273003,0.225120601,0.305637982,0.275683401,0.343955164,0.500804002,0.35932813141719405,,124.70283870496462,9.481684674974531,200.45836540720475,-7.6521616615355015,40.331089634141875
2022,"LAD",162,2326,6247,212,847,812,98,0.097166639,0.219945573,0.185124864,0.302028549,0.256605139,0.333386735,0.441730003,0.3365606197111093,,119.40276905745657,8.668429884593934,149.4313616523659,-5.822189689730294,37.528287457831574
2011,"NYY",162,2301,6306,222,867,836,147,0.099429115,0.180463051,0.181043856,0.292230933,0.263138818,0.34338118,0.444182674,0.34456480233771747,,113.00956629912017,6.574492510873824,101.56918363829121,40.17609805986285,36.93337382379854
2011,"BOS",162,2269,6414,203,875,842,102,0.090115372,0.172747115,0.18056042,0.314003146,0.280210157,0.34877896,0.460770577,0.35156117829334255,,117.0315561567858,-12.210666294209659,114.29944451702303,22.733484089374542,36.81065132491162
2015,"TOR",162,2337,6231,232,891,852,88,0.091478093,0.184721553,0.188418951,0.297994269,0.268651297,0.339628732,0.457070248,0.344204644959817,,117.35094151530936,10.971872464520857,135.86974477733094,6.5508470088243484,36.72847695842229
2017,"HOU",162,2313,6271,238,896,854,98,0.081167277,0.173337585,0.196043486,0.3089487,0.281767955,0.345544712,0.477811441,0.34860203596152806,,121.14723895143055,-0.2974090802208593,162.74320559883765,-1.325614219531417,36.67830898190925
2022,"NYY",162,2342,6172,254,807,764,102,0.100453661,0.22537265,0.184987089,0.276060764,0.241239395,0.324719648,0.426226484,0.3271562524513811,,116.32768738960593,-6.272554745199159,107.02790376511649,40.122144566848874,35.84985498049077
2013,"BOS",162,2264,6382,178,853,819,123,0.091037292,0.204951425,0.168996638,0.329300118,0.277119093,0.349228832,0.446115731,0.34655381168200255,,114.35363753977558,13.34164134832099,116.74697643832555,8.25370514439419,35.70409906743869
2010,"CIN",162,2370,6285,188,790,761,93,0.083054892,0.193794749,0.164366374,0.314231588,0.271554041,0.338478855,0.435920415,0.3396304956442325,,105.95462418491783,12.696239292621613,57.20283897508306,91.75948109757155,35.3786850325115
2009,"TBR",162,2345,6223,199,803,765,194,0.103165675,0.19749317,0.176858294,0.302770286,0.262541193,0.342852533,0.439399487,0.34162569384573344,,108.89370407672777,21.55717338435352,90.48444994569533,44.46503045409918,35.26992813730523
2007,"PHI",162,2446,6537,213,892,850,138,0.098057212,0.184335322,0.18407173,0.311198519,0.273909985,0.353732035,0.457981715,0.3509930830663753,,105.12873291645117,20.59696975722909,63.603659545533674,78.45383936585858,34.917365881701386
2016,"CHC",162,2332,6335,199,808,767,66,0.103551696,0.21136543,0.17263311,0.302348825,0.256042158,0.343452002,0.428675268,0.3333257462323065,,105.67961027581245,3.598324584774673,47.59372635040496,91.51089963538107,34.808161934421506
2018,"LAD",163,2574,6358,235,804,756,75,0.10176156,0.225857187,0.19149318,0.294162436,0.250179468,0.33264757,0.441672648,0.33261771410779684,,111.3580705564473,4.719959116617247,92.61407260227004,50.66987502388656,34.80113593213942
2019,"LAD",162,2413,6281,279,886,861,57,0.096640662,0.215889189,0.214636811,0.290801947,0.257418532,0.337616447,0.472055343,0.3383970782293396,,109.75543512556473,9.119003092222556,89.76942221896819,66.02373089361936,34.592697378363155
2021,"HOU",162,2319,6291,221,863,834,53,0.090446669,0.194245747,0.177006973,0.303282588,0.267477203,0.339012738,0.444484176,0.3364979435785783,,114.68816643391824,-6.136314243000925,106.73138949556807,17.12785050435923,34.14549555605219
2009,"NYY",162,2369,6449,244,915,881,111,0.102806636,0.157233679,0.194169611,0.306237333,0.283392226,0.36175187,0.477561837,0.36468593896023815,,117.0963287487587,0.17330221086740494,137.53587091618448,-21.778113663196564,34.14017643415394
2007,"NYY",162,2366,6528,201,968,929,123,0.097579656,0.151807598,0.173692496,0.317754968,0.28966241,0.365556583,0.463354906,0.3613084746489482,,119.16747702186657,11.935350224375725,168.43033098064723,-47.226813143119216,33.861333018987025
2011,"TEX",162,2186,6261,210,855,807,143,0.075866475,0.148538572,0.177416505,0.304071803,0.282558755,0.339601414,0.45997526,0.3473695284988492,,111.94048088242309,20.626736125908792,107.39951556968022,5.12677064165473,33.6860318323748
2012,"NYY",162,2367,6231,245,804,774,93,0.090675653,0.18873375,0.188450398,0.293111753,0.264663287,0.336935483,0.453113685,0.3415228532882965,,113.07745703824222,2.3243506997823715,97.25650238662143,13.685876028146595,33.62589229335291
2022,"TOR",162,2445,6158,200,775,756,67,0.081195193,0.20168886,0.16759676,0.304872165,0.263546354,0.328666775,0.431143114,0.3313474179578255,,118.269389458449,-3.213803042192012,123.38571121998899,2.883329449221492,33.61115266670493
2008,"STL",162,2396,6370,174,779,744,73,0.090580847,0.154631083,0.152058197,0.312099093,0.281227821,0.349896809,0.433286018,0.3419574729864073,,107.13119053098372,-10.047345157712698,46.40255542206067,84.85870391502976,33.47036198033624
